rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
4,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,4,183,4597728,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
24,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,4,26,180,2437960,dream pop; folk; folk pop; indie pop; indie,True,folklore: the long pond studio sessions (from the Disney+ special),,
33,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,37,291,2127112,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
35,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,27,39,150,2066520,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
42,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,25,41,620,1941770,pop; love at first listen; 2014; female vocalists; best of 2014,True,1989,,
44,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,46,246,1919718,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,
72,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,8,79,165,1538645,pop; screamo; brutal death metal; metal; overrated,True,Midnights,,
81,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,85,194,1486846,pop; country; love; indie folk; country pop,True,You Belong With Me,,
86,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,101,358,1470318,pop; electropop; gospel; edm; exile,True,Golden Collection,,
93,spotify:track:5kHMfzgLZP95O9NBy0ku4v,Taylor Swift,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,4,100,32,1429400,pop rock; rock; indie rock; pop; country rock,True,,,
155,spotify:track:0cqRj7pUJDkTCEsJkx8snD,Taylor Swift,Shake It Off,Taylor Swift,124,163,96,1160278,pop; 2014; haters gonna hate; taylor swift; love at first listen,True,1989,,
156,spotify:track:3sW3oSbzsfecv9XoUdGs7h,Taylor Swift,Enchanted (Taylor's Version),Taylor Swift,3,166,32,1158930,rock; country; country rock; pop rock; magic,False,Speak Now (Taylor's Version),,
163,spotify:track:1qrpoAMXodY6895hGKoUpA,Taylor Swift,You Belong With Me (Taylor’s Version),Taylor Swift,16,150,22,1150723,country pop; pop rock; power pop; country; overrated,True,Kids Hits 2022,,
170,spotify:track:6YvqWjhGD8mB5QXcbcUKtx,Taylor Swift,Love Story (Taylor’s Version),Taylor Swift,2,170,46,1131618,overrated; country; country pop; rock; singer songwriter,True,Best Of 2021: Summer Lounge,,
