rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
9,spotify:track:53iuhJlwXhSER5J2IYYv1W,Taylor Swift,The Fate of Ophelia,Taylor Swift,1,9,131,4973156,pop; best of 2025; baroque pop; synthpop; love at first listen,True,The Life of a Showgirl,,
22,spotify:track:3yWuTOYDztXjZxdE2cIRUa,Taylor Swift,Opalite,Taylor Swift,2,20,131,3173824,pop; synthpop; soft rock; rnb; christmas,True,The Life of a Showgirl,,
183,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,12,192,313,1336694,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
