rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,album,release_date,days_since_release
7,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,7,255,4570753,electropop; pop; synthpop; industrial pop; synthwave,Lover,,
33,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,12,36,222,2311529,pop; synthpop; love at first listen; taylor swift; 1989,1989,,
34,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,14,35,692,2286988,pop; love at first listen; 2014; female vocalists; best of 2014,1989,,
46,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,45,363,1998072,rock; grunge; 90s; test-tag; batch-test,Midnights [Clean],,
48,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,50,266,1910727,pop; country; love; indie folk; country pop,You Belong With Me,,
51,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,4,52,252,1850916,dream pop; folk; folk pop; indie pop; indie,folklore: the long pond studio sessions (from the Disney+ special),,
63,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,66,318,1750444,folk pop; folk; chamber pop; singer-songwriter; indie,Now That's What I Call Music! Vol. 76,,
75,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,79,430,1617248,pop; electropop; gospel; edm; exile,Golden Collection,,
93,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,8,95,237,1470468,pop; screamo; brutal death metal; metal; overrated,Midnights,,
160,spotify:track:0cqRj7pUJDkTCEsJkx8snD,Taylor Swift,Shake It Off,Taylor Swift,54,161,156,1248327,pop; 2014; haters gonna hate; taylor swift; love at first listen,1989,,
192,spotify:track:1qrpoAMXodY6895hGKoUpA,Taylor Swift,You Belong With Me (Taylor’s Version),Taylor Swift,16,187,55,1135141,country pop; pop rock; power pop; country; overrated,Kids Hits 2022,,
