date,song_name,rank,streams,previous_rank,peak_rank,total_days
2019-07-11,ME! (feat. Brendon Urie of Panic! At The Disco),61,1261921,64,,61
2019-07-11,You Need To Calm Down,17,2255318,16,,21
2019-07-12,ME! (feat. Brendon Urie of Panic! At The Disco),79,1244279,61,,62
2019-07-12,You Need To Calm Down,25,2255577,17,,22
2019-07-13,ME! (feat. Brendon Urie of Panic! At The Disco),84,1152973,79,,63
2019-07-13,You Need To Calm Down,24,2098987,25,,23
2019-07-14,ME! (feat. Brendon Urie of Panic! At The Disco),77,1039202,84,,64
2019-07-14,You Need To Calm Down,24,1799679,24,,24
2019-07-15,ME! (feat. Brendon Urie of Panic! At The Disco),72,1173361,77,,65
2019-07-15,You Need To Calm Down,24,2042571,24,,25
2019-07-16,ME! (feat. Brendon Urie of Panic! At The Disco),66,1177139,72,,66
2019-07-16,You Need To Calm Down,24,2024357,24,,26
2019-07-17,ME! (feat. Brendon Urie of Panic! At The Disco),68,1160729,66,,67
2019-07-17,You Need To Calm Down,26,1986731,24,,27
2019-07-18,ME! (feat. Brendon Urie of Panic! At The Disco),71,1127551,68,,68
2019-07-18,You Need To Calm Down,26,1978917,26,,28
2019-07-19,ME! (feat. Brendon Urie of Panic! At The Disco),80,1139958,71,,69
2019-07-19,You Need To Calm Down,27,1982364,26,,29
2019-07-20,ME! (feat. Brendon Urie of Panic! At The Disco),82,1048631,80,,70
2019-07-20,You Need To Calm Down,30,1833735,27,,30
2019-07-21,ME! (feat. Brendon Urie of Panic! At The Disco),79,942155,82,,71
2019-07-21,You Need To Calm Down,30,1619226,30,,31
2019-07-22,ME! (feat. Brendon Urie of Panic! At The Disco),75,1072268,79,,72
2019-07-22,You Need To Calm Down,29,1807579,30,,32
2019-07-23,ME! (feat. Brendon Urie of Panic! At The Disco),62,1167598,75,,73
2019-07-23,You Need To Calm Down,26,1924620,29,,33
2019-07-23,The Archer,112,879366,,,1
2019-07-24,ME! (feat. Brendon Urie of Panic! At The Disco),47,1414056,62,,74
2019-07-24,You Need To Calm Down,20,2270173,26,,34
2019-07-24,The Archer,9,2929533,112,,2
2019-07-24,Blank Space,184,647055,,,1
2019-07-25,ME! (feat. Brendon Urie of Panic! At The Disco),58,1206823,47,,75
2019-07-25,You Need To Calm Down,27,1936193,20,,35
2019-07-25,The Archer,29,1798224,9,,3
2019-07-26,ME! (feat. Brendon Urie of Panic! At The Disco),63,1193300,58,,76
2019-07-26,You Need To Calm Down,33,1885615,27,,36
2019-07-26,The Archer,24,2301863,29,,4
2019-07-27,ME! (feat. Brendon Urie of Panic! At The Disco),79,1043108,63,,77
2019-07-27,You Need To Calm Down,31,1688940,33,,37
2019-07-27,The Archer,32,1669368,24,,5
2019-07-28,ME! (feat. Brendon Urie of Panic! At The Disco),74,944031,79,,78
2019-07-28,You Need To Calm Down,32,1519876,31,,38
2019-07-28,The Archer,37,1409743,32,,6
2019-07-29,ME! (feat. Brendon Urie of Panic! At The Disco),64,1091961,74,,79
2019-07-29,You Need To Calm Down,33,1688699,32,,39
2019-07-29,The Archer,41,1527907,37,,7
2019-08-03,ME! (feat. Brendon Urie of Panic! At The Disco),88,960391,84,,80
2019-08-03,You Need To Calm Down,43,1507069,40,,40
2019-08-03,The Archer,69,1073081,60,,8
2019-08-04,ME! (feat. Brendon Urie of Panic! At The Disco),88,847554,88,,81
2019-08-04,You Need To Calm Down,42,1307911,43,,41
2019-08-04,The Archer,72,924723,69,,9
2019-08-05,ME! (feat. Brendon Urie of Panic! At The Disco),80,982759,88,,82
2019-08-05,You Need To Calm Down,40,1481601,42,,42
2019-08-05,The Archer,79,992730,72,,10
2019-08-06,ME! (feat. Brendon Urie of Panic! At The Disco),81,987735,80,,83
2019-08-06,You Need To Calm Down,40,1490463,40,,43
2019-08-06,The Archer,82,978138,79,,11
2019-08-07,ME! (feat. Brendon Urie of Panic! At The Disco),81,984964,81,,84
2019-08-07,You Need To Calm Down,42,1475306,40,,44
2019-08-07,The Archer,92,923674,82,,12
2019-08-08,ME! (feat. Brendon Urie of Panic! At The Disco),80,998583,81,,85
2019-08-08,You Need To Calm Down,42,1468922,42,,45
2019-08-08,The Archer,100,891914,92,,13
2019-08-09,ME! (feat. Brendon Urie of Panic! At The Disco),87,1026394,80,,86
2019-08-09,You Need To Calm Down,45,1489946,42,,46
2019-08-09,The Archer,110,895622,100,,14
2019-08-10,ME! (feat. Brendon Urie of Panic! At The Disco),98,902287,87,,87
2019-08-10,You Need To Calm Down,46,1349114,45,,47
2019-08-10,The Archer,127,775562,110,,15
2019-08-11,ME! (feat. Brendon Urie of Panic! At The Disco),94,812218,98,,88
2019-08-11,You Need To Calm Down,48,1189914,46,,48
2019-08-11,The Archer,134,672392,127,,16
2019-08-12,ME! (feat. Brendon Urie of Panic! At The Disco),81,959178,94,,89
2019-08-12,You Need To Calm Down,46,1374739,48,,49
2019-08-12,The Archer,123,776900,134,,17
2019-08-13,ME! (feat. Brendon Urie of Panic! At The Disco),83,961757,81,,90
2019-08-13,You Need To Calm Down,43,1389339,46,,50
2019-08-13,The Archer,136,761489,123,,18
2019-08-14,ME! (feat. Brendon Urie of Panic! At The Disco),86,942135,83,,91
2019-08-14,You Need To Calm Down,43,1381748,43,,51
2019-08-14,The Archer,147,699728,136,,19
2019-08-15,ME! (feat. Brendon Urie of Panic! At The Disco),88,924358,86,,92
2019-08-15,You Need To Calm Down,45,1372372,43,,52
2019-08-15,The Archer,166,656035,147,,20
2019-08-16,ME! (feat. Brendon Urie of Panic! At The Disco),77,1069533,88,,93
2019-08-16,You Need To Calm Down,39,1582697,45,,53
2019-08-16,The Archer,155,742926,166,,21
2019-08-16,Lover,4,3635889,,,1
2019-08-17,ME! (feat. Brendon Urie of Panic! At The Disco),89,954893,77,,94
2019-08-17,You Need To Calm Down,41,1437710,39,,54
2019-08-17,Lover,13,2682395,4,,2
2019-08-18,ME! (feat. Brendon Urie of Panic! At The Disco),85,867956,89,,95
2019-08-18,You Need To Calm Down,41,1279627,41,,55
2019-08-18,Lover,14,2233741,13,,3
2019-08-19,ME! (feat. Brendon Urie of Panic! At The Disco),77,987078,85,,96
2019-08-19,You Need To Calm Down,39,1433486,41,,56
2019-08-19,Lover,14,2398468,14,,4
2019-08-20,ME! (feat. Brendon Urie of Panic! At The Disco),73,1019384,77,,97
2019-08-20,You Need To Calm Down,39,1493665,39,,57
2019-08-20,Lover,14,2431868,14,,5
2019-08-21,ME! (feat. Brendon Urie of Panic! At The Disco),72,1031483,73,,98
2019-08-21,You Need To Calm Down,39,1484212,39,,58
2019-08-21,Lover,15,2300205,14,,6
2019-08-26,Cruel Summer,17,2531747,18,,1
2019-08-26,ME! (feat. Brendon Urie of Panic! At The Disco),32,1828828,33,,99
2019-08-26,You Need To Calm Down,16,2536985,17,,59
2019-08-26,The Archer,33,1780334,34,,22
2019-08-26,Lover,2,4108656,3,,7
2019-08-26,The Man,8,3056279,8,,1
2019-08-26,I Forgot That You Existed,20,2321395,20,,1
2019-08-26,Paper Rings,22,2024701,26,,1
2019-08-26,Miss Americana & The Heartbreak Prince,27,1905988,31,,1
