rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
15,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,14,223,2702898,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
32,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,5,31,115,2305010,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
54,spotify:track:3xYJScVfxByb61dYHTwiby,Taylor Swift,Hits Different,Taylor Swift,8,36,6,1862415,pop; love at first listen; bonus track; pop rock; best of 2023,True,Midnights (Lavender Edition),,
56,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,51,54,552,1831088,pop; love at first listen; 2014; female vocalists; best of 2014,True,1989,,
64,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,59,59,82,1689268,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
70,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,78,178,1659158,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,
82,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,8,73,97,1570604,pop; screamo; brutal death metal; metal; overrated,True,Midnights,,
86,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,Enchanted,Taylor Swift,46,75,146,1559424,country; pop; taylor swift; love; country pop,True,Speak Now,,
113,spotify:track:4zmKGsrXjLmljb5fTaBTot,"Taylor Swift, Lana Del Rey",Snow On The Beach (feat. More Lana Del Rey),Taylor Swift,6,81,6,1388375,pop perfection; dream pop; pop; death metal; ballad,True,Midnights (The Til Dawn Edition),,
115,spotify:track:4i6cwNY6oIUU2XZxPIw82Y,"Taylor Swift, Ice Spice",Karma (feat. Ice Spice),Taylor Swift,5,82,6,1381795,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,Midnights (The Til Dawn Edition),,
121,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,120,290,1352264,pop; electropop; gospel; edm; exile,True,Golden Collection,,
127,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,Taylor Swift,Lavender Haze,Taylor Swift,2,109,221,1319267,pop; synthpop; dream pop; overrated; electropop,True,Midnights,,
169,spotify:track:3rWDp9tBPQR9z6U5YyRSK4,Taylor Swift,Midnight Rain,Taylor Swift,4,146,155,1162778,pop; synthpop; electropop; overrated; aoty,True,Midnights [Clean],,
186,spotify:track:4P9Q0GojKVXpRTJCaL3kyy,Taylor Swift,All Of The Girls You Loved Before,Taylor Swift,4,172,73,1127203,lover; pop; dream pop; synthpop; rnb,True,All of the Girls You Loved Before,,
188,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,182,126,1123193,pop; country; love; indie folk; country pop,True,You Belong With Me,,
197,spotify:track:0cqRj7pUJDkTCEsJkx8snD,Taylor Swift,Shake It Off,Taylor Swift,124,-1,28,1102438,pop; 2014; haters gonna hate; taylor swift; love at first listen,True,1989,,
