rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
11,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,5,12,136,3346995,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
16,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,25,244,2546376,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
33,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,33,40,573,2207102,pop; love at first listen; 2014; female vocalists; best of 2014,True,1989,,
43,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,43,53,103,1992794,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
57,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,8,67,118,1836000,pop; screamo; brutal death metal; metal; overrated,True,Midnights,,
60,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,63,199,1792651,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,
64,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,Enchanted,Taylor Swift,46,72,167,1747192,country; pop; taylor swift; love; country pop,True,Speak Now,,
81,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,100,311,1542982,pop; electropop; gospel; edm; exile,True,Golden Collection,,
99,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,113,147,1445325,pop; country; love; indie folk; country pop,True,You Belong With Me,,
139,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,9,160,134,1267382,dream pop; folk; folk pop; indie pop; indie,True,folklore: the long pond studio sessions (from the Disney+ special),,
145,spotify:track:0cqRj7pUJDkTCEsJkx8snD,Taylor Swift,Shake It Off,Taylor Swift,124,173,49,1251735,pop; 2014; haters gonna hate; taylor swift; love at first listen,True,1989,,
171,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,Taylor Swift,Lavender Haze,Taylor Swift,2,-1,230,1172576,pop; synthpop; dream pop; overrated; electropop,True,Midnights,,
