rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
22,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,21,226,2643619,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
25,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,5,26,118,2612561,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
54,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,51,59,555,2012465,pop; love at first listen; 2014; female vocalists; best of 2014,True,1989,,
75,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,59,74,85,1767450,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
82,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,8,76,100,1684799,pop; screamo; brutal death metal; metal; overrated,True,Midnights,,
87,spotify:track:3xYJScVfxByb61dYHTwiby,Taylor Swift,Hits Different,Taylor Swift,8,79,9,1672476,pop; love at first listen; bonus track; pop rock; best of 2023,True,Midnights (Lavender Edition),,
95,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,93,181,1617769,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,
96,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,Enchanted,Taylor Swift,46,96,149,1611397,country; pop; taylor swift; love; country pop,True,Speak Now,,
121,spotify:track:4i6cwNY6oIUU2XZxPIw82Y,"Taylor Swift, Ice Spice",Karma (feat. Ice Spice),Taylor Swift,5,89,9,1432269,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,Midnights (The Til Dawn Edition),,
129,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,126,293,1404099,pop; electropop; gospel; edm; exile,True,Golden Collection,,
143,spotify:track:4zmKGsrXjLmljb5fTaBTot,"Taylor Swift, Lana Del Rey",Snow On The Beach (feat. More Lana Del Rey),Taylor Swift,6,111,9,1342847,pop perfection; dream pop; pop; death metal; ballad,True,Midnights (The Til Dawn Edition),,
168,spotify:track:0cqRj7pUJDkTCEsJkx8snD,Taylor Swift,Shake It Off,Taylor Swift,124,183,31,1243923,pop; 2014; haters gonna hate; taylor swift; love at first listen,True,1989,,
171,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,Taylor Swift,Lavender Haze,Taylor Swift,2,164,224,1235851,pop; synthpop; dream pop; overrated; electropop,True,Midnights,,
172,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,186,129,1220530,pop; country; love; indie folk; country pop,True,You Belong With Me,,
