rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
24,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,23,210,2536872,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
42,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,5,39,102,2142173,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
58,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,57,59,539,1753930,pop; love at first listen; 2014; female vocalists; best of 2014,True,1989,,
60,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,61,165,1721575,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,
82,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,74,78,69,1598623,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
84,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,Enchanted,Taylor Swift,46,83,133,1582045,country; pop; taylor swift; love; country pop,True,Speak Now,,
98,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,8,96,84,1514214,pop; screamo; brutal death metal; metal; overrated,True,Midnights,,
115,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,106,277,1392929,pop; electropop; gospel; edm; exile,True,Golden Collection,,
152,spotify:track:4P9Q0GojKVXpRTJCaL3kyy,Taylor Swift,All Of The Girls You Loved Before,Taylor Swift,4,150,63,1247580,lover; pop; dream pop; synthpop; rnb,True,All of the Girls You Loved Before,,
159,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,Taylor Swift,Lavender Haze,Taylor Swift,2,154,208,1204016,pop; synthpop; dream pop; overrated; electropop,True,Midnights,,
