rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
21,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,5,25,119,2387689,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
22,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,22,227,2356977,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
59,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,51,54,556,1793328,pop; love at first listen; 2014; female vocalists; best of 2014,True,1989,,
71,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,59,75,86,1642565,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
76,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,95,182,1577075,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,
77,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,Enchanted,Taylor Swift,46,96,150,1550287,country; pop; taylor swift; love; country pop,True,Speak Now,,
88,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,8,82,101,1490577,pop; screamo; brutal death metal; metal; overrated,True,Midnights,,
96,spotify:track:3xYJScVfxByb61dYHTwiby,Taylor Swift,Hits Different,Taylor Swift,8,87,10,1449139,pop; love at first listen; bonus track; pop rock; best of 2023,True,Midnights (Lavender Edition),,
118,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,129,294,1303700,pop; electropop; gospel; edm; exile,True,Golden Collection,,
133,spotify:track:4zmKGsrXjLmljb5fTaBTot,"Taylor Swift, Lana Del Rey",Snow On The Beach (feat. More Lana Del Rey),Taylor Swift,6,143,10,1250362,pop perfection; dream pop; pop; death metal; ballad,True,Midnights (The Til Dawn Edition),,
134,spotify:track:4i6cwNY6oIUU2XZxPIw82Y,"Taylor Swift, Ice Spice",Karma (feat. Ice Spice),Taylor Swift,5,121,10,1240783,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,Midnights (The Til Dawn Edition),,
159,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,172,130,1139491,pop; country; love; indie folk; country pop,True,You Belong With Me,,
163,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,Taylor Swift,Lavender Haze,Taylor Swift,2,171,225,1114668,pop; synthpop; dream pop; overrated; electropop,True,Midnights,,
171,spotify:track:0cqRj7pUJDkTCEsJkx8snD,Taylor Swift,Shake It Off,Taylor Swift,124,168,32,1092285,pop; 2014; haters gonna hate; taylor swift; love at first listen,True,1989,,
