rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
62,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,23,66,13,85803,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],2022-10-21,12
177,spotify:track:1wtOxkiel43cVs0Yux5Q4h,"Taylor Swift, Lana Del Rey",Snow On The Beach (feat. Lana Del Rey),Taylor Swift,42,193,9,49025,dream pop; pop; chill; ballad; synthpop,True,Snow on the beach (feat. Lana Del Rey),,
195,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,Taylor Swift,Lavender Haze,Taylor Swift,40,-1,8,45902,pop; synthpop; dream pop; overrated; electropop,True,Midnights,,
