rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
55,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,"Taylor Swift, Post Malone",Fortnight (feat. Post Malone),Taylor Swift,11,55,14,114260,pop; best of 2024; soty; synthpop; singer-songwriter,True,The Tortured Poets Department (Webstore Exclusive),,
117,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,36,120,214,75381,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,2023-10-18,197
197,spotify:track:4q5YezDOIPcoLr8R81x9qy,Taylor Swift,I Can Do It With a Broken Heart,Taylor Swift,56,195,14,57736,pop; best of 2024; synthpop; dance-pop; soty,True,THE TORTURED POETS DEPARTMENT,2024-04-19,13
