rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
2,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,2,151,4653219,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
23,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,28,259,2361658,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
29,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,29,29,588,2288714,pop; love at first listen; 2014; female vocalists; best of 2014,True,1989,,
36,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,36,37,118,2180549,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
41,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,Enchanted,Taylor Swift,41,51,182,2101190,country; pop; taylor swift; love; country pop,True,Speak Now,,
50,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,48,214,1915959,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,
58,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,8,65,133,1786380,pop; screamo; brutal death metal; metal; overrated,True,Midnights,,
87,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,93,326,1540780,pop; electropop; gospel; edm; exile,True,Golden Collection,,
98,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,101,162,1471614,pop; country; love; indie folk; country pop,True,You Belong With Me,,
120,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,9,126,149,1360928,dream pop; folk; folk pop; indie pop; indie,True,folklore: the long pond studio sessions (from the Disney+ special),,
151,spotify:track:0cqRj7pUJDkTCEsJkx8snD,Taylor Swift,Shake It Off,Taylor Swift,124,144,64,1239564,pop; 2014; haters gonna hate; taylor swift; love at first listen,True,1989,,
188,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,Taylor Swift,Lavender Haze,Taylor Swift,2,200,238,1149309,pop; synthpop; dream pop; overrated; electropop,True,Midnights,,
190,spotify:track:1qrpoAMXodY6895hGKoUpA,Taylor Swift,You Belong With Me (Taylor’s Version),Taylor Swift,16,-1,7,1146243,country pop; pop rock; power pop; country; overrated,True,Kids Hits 2022,,
