pop_rank,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release,previous_pop_rank
1,5,spotify:track:53iuhJlwXhSER5J2IYYv1W,Taylor Swift,The Fate of Ophelia,Taylor Swift,2,6,5,311775,pop; best of 2025; baroque pop; synthpop; love at first listen,True,The Life of a Showgirl,,,1.0
5,35,spotify:track:3yWuTOYDztXjZxdE2cIRUa,Taylor Swift,Opalite,Taylor Swift,8,30,5,155325,pop; synthpop; soft rock; rnb; christmas,True,The Life of a Showgirl,,,3.0
6,39,spotify:track:1jgTiNob5cVyXeJ3WgX5bL,Taylor Swift,Elizabeth Taylor,Taylor Swift,5,32,5,144389,who put katy perry?; pop; baroque pop; soty; halsey,True,The Life of a Showgirl,,,5.0
13,58,spotify:track:03bTIHJElXZ0O0jqOQvAbY,Taylor Swift,Father Figure,Taylor Swift,14,46,5,115955,soty; best of 2025; synthpop; pop; female vocalist,True,The Life of a Showgirl,,,8.0
16,67,spotify:track:1appZ3c336FkPvCuywfmrs,Taylor Swift,CANCELLED!,Taylor Swift,20,53,5,106591,pop; soty; rock; female vocalist; singer-songwriter,True,The Life of a Showgirl,,,11.0
18,86,spotify:track:5eXgqtg3T8Av0m1FUaGHex,"Taylor Swift, Sabrina Carpenter",The Life of a Showgirl (feat. Sabrina Carpenter),Taylor Swift,22,66,5,94135,pop; power pop; rnb; disco; acid rock,True,,,,15.0
19,90,spotify:track:2x3mwb96B6TquRqMtbxUE1,Taylor Swift,Actually Romantic,Taylor Swift,21,67,5,92290,pop rock; power pop; best of 2025; ended flopli xcx; disco,True,The Life of a Showgirl,,,16.0
20,92,spotify:track:62HoDY1Km6lm47haFpUn9c,Taylor Swift,Eldest Daughter,Taylor Swift,18,70,5,91434,pop; 2020s; sad; experimental; ballad,True,The Life of a Showgirl,,,17.0
21,96,spotify:track:2TEQvxxQabwLQMqWMg1qGu,Taylor Swift,Wi$h Li$t,Taylor Swift,27,81,5,88231,pop; synthpop; fav; synth pop; dream,True,The Life of a Showgirl,,,23.0
22,97,spotify:track:5ylJtmaWPJ33cW3En7WOu0,Taylor Swift,Wood,Taylor Swift,28,80,5,87910,pop; funk; disco; sexy; 70s,True,The Life of a Showgirl,,,22.0
25,104,spotify:track:62V2ZHslgQV98gH4AuVXnr,Taylor Swift,Ruin The Friendship,Taylor Swift,23,79,5,85992,pop; country pop; peter; soft rock; country,True,The Life of a Showgirl,,,21.0
32,141,spotify:track:4qmFC3Jz5aQ0erlk2OSi2X,Taylor Swift,Honey,Taylor Swift,36,110,5,72155,pop; rnb; soft rock; metal; power pop,True,The Life of a Showgirl,,,27.0
