rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,album,release_date,days_since_release
13,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,"Taylor Swift, Post Malone",Fortnight (feat. Post Malone),Taylor Swift,1,13,36,5204553,pop; best of 2024; soty; synthpop; singer-songwriter,The Tortured Poets Department (Webstore Exclusive),,
23,spotify:track:4q5YezDOIPcoLr8R81x9qy,Taylor Swift,I Can Do It With a Broken Heart,Taylor Swift,3,24,36,3455699,pop; best of 2024; synthpop; dance-pop; soty,THE TORTURED POETS DEPARTMENT,,
25,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,26,474,3310605,electropop; pop; synthpop; industrial pop; synthwave,Lover,,
50,spotify:track:2F3N9tdombb64aW6VtZOdo,Taylor Swift,Down Bad,Taylor Swift,2,44,36,2513919,pop; synthpop; best of 2024; love at first listen; pop perfect,THE TORTURED POETS DEPARTMENT,,
56,spotify:track:0W0iAC1VGlB82PI6elxFYf,Taylor Swift,Guilty as Sin?,Taylor Swift,11,50,36,2250580,pop; best of 2024; singer-songwriter; pop rock; soty,THE TORTURED POETS DEPARTMENT,,
62,spotify:track:36t6frENUtCYKuZus6aYDO,Taylor Swift,Who’s Afraid of Little Old Me?,Taylor Swift,9,53,36,2169391,love at first listen; pop; best of 2024; pop rock; taylor swift,THE TORTURED POETS DEPARTMENT [Clean] [Clean],,
75,spotify:track:3Vevii7qKqrmW8CcyzBHDl,Taylor Swift,"So Long, London",Taylor Swift,4,68,36,1956858,pop; best of 2024; singer-songwriter; synthpop; wsum 91.7 fm madison,THE TORTURED POETS DEPARTMENT,,
85,spotify:track:5og4Qzt92jJzVDkOtSEilb,Taylor Swift,But Daddy I Love Him,Taylor Swift,6,77,36,1835345,pop; best of 2024; pop rock; colleen hoover; country,THE TORTURED POETS DEPARTMENT,,
91,spotify:track:2XXwLdtuAcE0HSCu61ijAb,Taylor Swift,My Boy Only Breaks His Favorite Toys,Taylor Swift,5,79,36,1795981,pop; best of 2024; synthpop; female vocalists; taylor swift,THE TORTURED POETS DEPARTMENT,,
140,spotify:track:2v1ivOOsgn64g5OywuH55L,Taylor Swift,The Smallest Man Who Ever Lived,Taylor Swift,14,116,36,1547108,pop; singer-songwriter; best of 2024; colleen hoover; chatgpt,THE TORTURED POETS DEPARTMENT,,
149,spotify:track:3NMrVbIVWT3fPXBj0rNDKG,Taylor Swift,The Tortured Poets Department,Taylor Swift,2,135,36,1515364,pop; synthpop; best of 2024; singer-songwriter; 2024,THE TORTURED POETS DEPARTMENT,,
165,spotify:track:3ZVFcD8Wlw9T9klGqmJf9F,"Taylor Swift, Florence + The Machine",Florida!!! (feat. Florence + The Machine),Taylor Swift,7,146,36,1470125,pop; rock; alternative; country; pop rock; singer-songwriter; love at first listen; best of 2024; 2024; alternative pop,,,
