rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
4,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,3,159,4957300,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
19,spotify:track:5kHMfzgLZP95O9NBy0ku4v,Taylor Swift,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,4,16,8,3029044,pop rock; rock; indie rock; pop; country rock,True,,,
33,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,26,267,2358744,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
38,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,25,27,596,2294995,pop; love at first listen; 2014; female vocalists; best of 2014,True,1989,,
39,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,27,29,126,2281840,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
57,spotify:track:3sW3oSbzsfecv9XoUdGs7h,Taylor Swift,Enchanted (Taylor's Version),Taylor Swift,3,38,8,1982188,rock; country; country rock; pop rock; magic,False,Speak Now (Taylor's Version),,
68,spotify:track:79uDOz0zuuWS7HWxzMmTa2,Taylor Swift,Back To December (Taylor's Version),Taylor Swift,2,46,8,1857153,country pop; country; pop rock; pop; ballad,True,Speak Now (Taylor's Version),,
72,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,58,222,1821359,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,
73,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,8,59,141,1790757,pop; screamo; brutal death metal; metal; overrated,True,Midnights,,
79,spotify:track:7G0gBu6nLdhFDPRLc0HdDG,Taylor Swift,Mine (Taylor's Version),Taylor Swift,1,53,8,1703195,pop rock; country pop; country; pop; country rock,True,Speak Now (Taylor's Version),,
99,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,84,334,1561897,pop; electropop; gospel; edm; exile,True,Golden Collection,,
101,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,87,170,1527728,pop; country; love; indie folk; country pop,True,You Belong With Me,,
133,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,9,112,156,1379785,dream pop; folk; folk pop; indie pop; indie,True,folklore: the long pond studio sessions (from the Disney+ special),,
135,spotify:track:0NwGC0v03ysCYINtg6ns58,Taylor Swift,Better Than Revenge (Taylor's Version),Taylor Swift,5,96,8,1374422,country; rock; pop punk; country rock; power pop,True,Speak Now (Taylor's Version),,
143,spotify:track:3MytWN8L7shNYzGl4tAKRp,Taylor Swift,Sparks Fly (Taylor’s Version),Taylor Swift,4,94,8,1339509,country rock; country; taylors version; country pop; why is this not on the eras tour setlist,False,,,
171,spotify:track:5xXqyjLicvEpch72qEryFT,Taylor Swift,Speak Now (Taylor's Version),Taylor Swift,6,107,8,1264627,country pop; country; pop; taylors version; rock,True,Speak Now (Taylor's Version),,
172,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,Enchanted,Taylor Swift,41,153,190,1254837,country; pop; taylor swift; love; country pop,True,Speak Now,,
176,spotify:track:1zU8j1x3yi9xalMF96pzKp,Taylor Swift,Dear John (Taylor's Version),Taylor Swift,7,123,8,1226625,country; soft rock; country rock; ballad; country pop,False,Speak Now (Taylor's Version),,
179,spotify:track:0cqRj7pUJDkTCEsJkx8snD,Taylor Swift,Shake It Off,Taylor Swift,124,174,72,1221075,pop; 2014; haters gonna hate; taylor swift; love at first listen,True,1989,,
192,spotify:track:1qrpoAMXodY6895hGKoUpA,Taylor Swift,You Belong With Me (Taylor’s Version),Taylor Swift,16,173,13,1182609,country pop; pop rock; power pop; country; overrated,True,Kids Hits 2022,,
