rank,track_name,artist_names,streams,previous_rank,peak_rank
1,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson",5030328,2,1
2,Risk It All,Bruno Mars,4734519,3,1
3,DtMF,Bad Bunny,4730184,1,1
4,Babydoll,Dominic Fike,4334197,8,4
5,End of Beginning,Djo,4249421,5,1
6,American Girls,Harry Styles,4171161,4,1
7,Man I Need,Olivia Dean,4143965,6,2
8,So Easy (To Fall In Love),Olivia Dean,4063582,7,5
9,back to friends,sombr,3727119,12,1
10,The Fate of Ophelia,Taylor Swift,3603947,9,1
11,BAILE INoLVIDABLE,Bad Bunny,3450321,10,2
12,Raindance (feat. Tems),"Dave, Tems",3444620,15,10
13,NUEVAYoL,Bad Bunny,3408119,11,2
14,Lush Life,Zara Larsson,3333642,14,4
15,WHERE IS MY HUSBAND!,RAYE,3333265,13,5
16,Ordinary,Alex Warren,3189066,18,1
17,I Just Might,Bruno Mars,3104280,19,3
18,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",3056665,21,1
19,Taste Back,Harry Styles,2908759,20,6
20,Aperture,Harry Styles,2845853,16,1
21,"Ready, Steady, Go!",Harry Styles,2803050,17,2
22,Tití Me Preguntó,Bad Bunny,2797406,24,4
23,Coming Up Roses,Harry Styles,2788766,22,8
24,Die On This Hill,SIENNA SPIRO,2689010,29,8
25,EoO,Bad Bunny,2661136,26,4
26,I Thought I Saw Your Face Today,She & Him,2658779,32,12
27,Are You Listening Yet?,Harry Styles,2609156,23,4
28,Die With A Smile,"Lady Gaga, Bruno Mars",2538013,31,1
29,Iris,The Goo Goo Dolls,2533323,33,9
30,iloveitiloveitiloveit,Bella Kay,2523061,36,25
31,Love Me Not,Ravyn Lenae,2463394,34,8
32,Pop,Harry Styles,2418887,25,11
33,The Waiting Game,Harry Styles,2399440,27,10
34,Sailor Song,Gigi Perez,2361299,39,5
35,BIRDS OF A FEATHER,Billie Eilish,2355942,35,1
36,Season 2 Weight Loss,Harry Styles,2309080,28,12
37,Every Breath You Take,The Police,2246013,38,6
38,12 to 12,sombr,2209462,40,12
39,Manchild,Sabrina Carpenter,2192736,41,1
40,Sweater Weather,The Neighbourhood,2166029,44,12
41,Dance No More,Harry Styles,2139657,30,15
42,Homewrecker,sombr,2101468,45,19
43,FEVER DREAM,Alex Warren,2021241,42,12
44,Opalite,Taylor Swift,1961538,47,2
45,WILDFLOWER,Billie Eilish,1958488,56,8
46,Choosin' Texas,Ella Langley,1956522,51,42
47,I Wanna Be Yours,Arctic Monkeys,1936964,62,11
48,(When You Gonna) Give It Up to Me - Radio Version,"Sean Paul, Keyshia Cole",1935951,49,38
49,E85,Don Toliver,1935511,63,21
50,One Dance,"Drake, Wizkid, Kyla",1931998,53,5
51,White Keys,Dominic Fike,1923964,59,44
52,No Broke Boys,"Disco Lines, Tinashe",1923791,46,6
53,Carla's Song,Harry Styles,1923777,37,19
54,Mr. Brightside,The Killers,1905158,52,40
55,Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",1903505,50,28
56,Creep,Radiohead,1878972,57,22
57,Riptide,Vance Joy,1865802,60,28
58,Don’t Say You Love Me,Jin,1857793,68,1
59,VOY A LLeVARTE PA PR,Bad Bunny,1851851,48,5
60,Beautiful Things,Benson Boone,1835728,54,1
61,That's What I Like,Bruno Mars,1814579,61,5
62,Gabriela,KATSEYE,1811221,58,7
63,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",1773457,66,2
64,LA VILLA,"Ryan Castro, Kapo, Gangsta",1746643,55,31
65,Espresso,Sabrina Carpenter,1740454,64,1
