rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,album,release_date,days_since_release
6,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,"Taylor Swift, Post Malone",Fortnight (feat. Post Malone),Taylor Swift,1,7,24,6015657,pop; best of 2024; soty; synthpop; singer-songwriter,The Tortured Poets Department (Webstore Exclusive),,
14,spotify:track:4q5YezDOIPcoLr8R81x9qy,Taylor Swift,I Can Do It With a Broken Heart,Taylor Swift,3,14,24,4025852,pop; best of 2024; synthpop; dance-pop; soty,THE TORTURED POETS DEPARTMENT,,
21,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,23,462,3163404,electropop; pop; synthpop; industrial pop; synthwave,Lover,,
22,spotify:track:2F3N9tdombb64aW6VtZOdo,Taylor Swift,Down Bad,Taylor Swift,2,20,24,3133399,pop; synthpop; best of 2024; love at first listen; pop perfect,THE TORTURED POETS DEPARTMENT,,
31,spotify:track:36t6frENUtCYKuZus6aYDO,Taylor Swift,Who’s Afraid of Little Old Me?,Taylor Swift,9,30,24,2582258,love at first listen; pop; best of 2024; pop rock; taylor swift,THE TORTURED POETS DEPARTMENT [Clean] [Clean],,
35,spotify:track:3Vevii7qKqrmW8CcyzBHDl,Taylor Swift,"So Long, London",Taylor Swift,4,35,24,2395595,pop; best of 2024; singer-songwriter; synthpop; wsum 91.7 fm madison,THE TORTURED POETS DEPARTMENT,,
38,spotify:track:0W0iAC1VGlB82PI6elxFYf,Taylor Swift,Guilty as Sin?,Taylor Swift,11,39,24,2373675,pop; best of 2024; singer-songwriter; pop rock; soty,THE TORTURED POETS DEPARTMENT,,
42,spotify:track:5og4Qzt92jJzVDkOtSEilb,Taylor Swift,But Daddy I Love Him,Taylor Swift,6,44,24,2230589,pop; best of 2024; pop rock; colleen hoover; country,THE TORTURED POETS DEPARTMENT,,
49,spotify:track:2XXwLdtuAcE0HSCu61ijAb,Taylor Swift,My Boy Only Breaks His Favorite Toys,Taylor Swift,5,47,24,2117398,pop; best of 2024; synthpop; female vocalists; taylor swift,THE TORTURED POETS DEPARTMENT,,
63,spotify:track:3NMrVbIVWT3fPXBj0rNDKG,Taylor Swift,The Tortured Poets Department,Taylor Swift,2,56,24,1881535,pop; synthpop; best of 2024; singer-songwriter; 2024,THE TORTURED POETS DEPARTMENT,,
65,spotify:track:2v1ivOOsgn64g5OywuH55L,Taylor Swift,The Smallest Man Who Ever Lived,Taylor Swift,14,61,24,1869678,pop; singer-songwriter; best of 2024; colleen hoover; chatgpt,THE TORTURED POETS DEPARTMENT,,
66,spotify:track:3ZVFcD8Wlw9T9klGqmJf9F,"Taylor Swift, Florence + The Machine",Florida!!! (feat. Florence + The Machine),Taylor Swift,7,54,24,1864165,pop; rock; alternative; country; pop rock; singer-songwriter; love at first listen; best of 2024; 2024; alternative pop,,,
87,spotify:track:7Mts0OfPorF4iwOomvfqn1,Taylor Swift,So High School,Taylor Swift,25,97,24,1576909,pop; rock; pop rock; singer-songwriter; indie rock,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,
93,spotify:track:6RSG1dKPV5gEvILwJb4QtS,Taylor Swift,loml,Taylor Swift,12,88,24,1547905,pop; singer-songwriter; sad; piano; ballad,THE TORTURED POETS DEPARTMENT,,
122,spotify:track:1dhMTsEZz6ZEquGvmzVoHn,Taylor Swift,The Alchemy,Taylor Swift,15,117,24,1415862,chatgpt; pop; best of 2024; singer-songwriter; colleen hoover,THE TORTURED POETS DEPARTMENT,,
147,spotify:track:3fO566xJgwxIa3qGCGBvIC,Taylor Swift,Fresh Out The Slammer,Taylor Swift,10,141,24,1348198,pop; singer-songwriter; colleen hoover; love at first listen; best of 2024,THE TORTURED POETS DEPARTMENT,,
173,spotify:track:1kcwpPDQnqEqmezzXdJTCP,Taylor Swift,imgonnagetyouback,Taylor Swift,21,181,24,1240997,pop; singer-songwriter; female vocalists; synthpop; love at first listen,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,
