rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,album,release_date,days_since_release
2,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,"Taylor Swift, Post Malone",Fortnight (feat. Post Malone),Taylor Swift,1,2,12,9412925,pop; best of 2024; soty; synthpop; singer-songwriter,The Tortured Poets Department (Webstore Exclusive),,
6,spotify:track:4q5YezDOIPcoLr8R81x9qy,Taylor Swift,I Can Do It With a Broken Heart,Taylor Swift,3,6,12,6069682,pop; best of 2024; synthpop; dance-pop; soty,THE TORTURED POETS DEPARTMENT,,
11,spotify:track:2F3N9tdombb64aW6VtZOdo,Taylor Swift,Down Bad,Taylor Swift,2,11,12,4936490,pop; synthpop; best of 2024; love at first listen; pop perfect,THE TORTURED POETS DEPARTMENT,,
15,spotify:track:3Vevii7qKqrmW8CcyzBHDl,Taylor Swift,"So Long, London",Taylor Swift,4,12,12,4076525,pop; best of 2024; singer-songwriter; synthpop; wsum 91.7 fm madison,THE TORTURED POETS DEPARTMENT,,
17,spotify:track:2XXwLdtuAcE0HSCu61ijAb,Taylor Swift,My Boy Only Breaks His Favorite Toys,Taylor Swift,5,16,12,3772907,pop; best of 2024; synthpop; female vocalists; taylor swift,THE TORTURED POETS DEPARTMENT,,
18,spotify:track:0W0iAC1VGlB82PI6elxFYf,Taylor Swift,Guilty as Sin?,Taylor Swift,11,18,12,3692666,pop; best of 2024; singer-songwriter; pop rock; soty,THE TORTURED POETS DEPARTMENT,,
19,spotify:track:36t6frENUtCYKuZus6aYDO,Taylor Swift,Who’s Afraid of Little Old Me?,Taylor Swift,9,19,12,3685678,love at first listen; pop; best of 2024; pop rock; taylor swift,THE TORTURED POETS DEPARTMENT [Clean] [Clean],,
25,spotify:track:3ZVFcD8Wlw9T9klGqmJf9F,"Taylor Swift, Florence + The Machine",Florida!!! (feat. Florence + The Machine),Taylor Swift,7,23,12,3440302,pop; rock; alternative; country; pop rock; singer-songwriter; love at first listen; best of 2024; 2024; alternative pop,,,
26,spotify:track:5og4Qzt92jJzVDkOtSEilb,Taylor Swift,But Daddy I Love Him,Taylor Swift,6,21,12,3439325,pop; best of 2024; pop rock; colleen hoover; country,THE TORTURED POETS DEPARTMENT,,
27,spotify:track:3NMrVbIVWT3fPXBj0rNDKG,Taylor Swift,The Tortured Poets Department,Taylor Swift,2,20,12,3428835,pop; synthpop; best of 2024; singer-songwriter; 2024,THE TORTURED POETS DEPARTMENT,,
30,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,29,450,3231659,electropop; pop; synthpop; industrial pop; synthwave,Lover,,
40,spotify:track:2v1ivOOsgn64g5OywuH55L,Taylor Swift,The Smallest Man Who Ever Lived,Taylor Swift,14,32,12,2703280,pop; singer-songwriter; best of 2024; colleen hoover; chatgpt,THE TORTURED POETS DEPARTMENT,,
44,spotify:track:6RSG1dKPV5gEvILwJb4QtS,Taylor Swift,loml,Taylor Swift,12,38,12,2590035,pop; singer-songwriter; sad; piano; ballad,THE TORTURED POETS DEPARTMENT,,
47,spotify:track:1dhMTsEZz6ZEquGvmzVoHn,Taylor Swift,The Alchemy,Taylor Swift,15,44,12,2443147,chatgpt; pop; best of 2024; singer-songwriter; colleen hoover,THE TORTURED POETS DEPARTMENT,,
49,spotify:track:3fO566xJgwxIa3qGCGBvIC,Taylor Swift,Fresh Out The Slammer,Taylor Swift,10,42,12,2433871,pop; singer-songwriter; colleen hoover; love at first listen; best of 2024,THE TORTURED POETS DEPARTMENT,,
51,spotify:track:7Mts0OfPorF4iwOomvfqn1,Taylor Swift,So High School,Taylor Swift,25,51,12,2212373,pop; rock; pop rock; singer-songwriter; indie rock,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,
