rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
18,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,20,172,2796986,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
51,spotify:track:4P9Q0GojKVXpRTJCaL3kyy,Taylor Swift,All Of The Girls You Loved Before,Taylor Swift,4,56,25,1809414,lover; pop; dream pop; synthpop; rnb,True,All of the Girls You Loved Before,,
80,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,71,80,501,1484588,pop; love at first listen; 2014; female vocalists; best of 2014,True,1989,,
81,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,Taylor Swift,Lavender Haze,Taylor Swift,2,86,170,1484389,pop; synthpop; dream pop; overrated; electropop,True,Midnights,,
92,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,5,102,64,1428086,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
93,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,100,127,1422257,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,
114,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,119,239,1298509,pop; electropop; gospel; edm; exile,True,Golden Collection,,
116,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,108,126,31,1276002,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
134,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,Enchanted,Taylor Swift,46,131,95,1207499,country; pop; taylor swift; love; country pop,True,Speak Now,,
158,spotify:track:3rWDp9tBPQR9z6U5YyRSK4,Taylor Swift,Midnight Rain,Taylor Swift,4,176,131,1131741,pop; synthpop; electropop; overrated; aoty,True,Midnights [Clean],,
