rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
1,spotify:track:53iuhJlwXhSER5J2IYYv1W,Taylor Swift,The Fate of Ophelia,Taylor Swift,1,1,11,12211026,pop; best of 2025; baroque pop; synthpop; love at first listen,True,The Life of a Showgirl,,
2,spotify:track:3yWuTOYDztXjZxdE2cIRUa,Taylor Swift,Opalite,Taylor Swift,2,2,11,7912759,pop; synthpop; soft rock; rnb; christmas,True,The Life of a Showgirl,,
4,spotify:track:1jgTiNob5cVyXeJ3WgX5bL,Taylor Swift,Elizabeth Taylor,Taylor Swift,2,4,11,5626197,who put katy perry?; pop; baroque pop; soty; halsey,True,The Life of a Showgirl,,
6,spotify:track:03bTIHJElXZ0O0jqOQvAbY,Taylor Swift,Father Figure,Taylor Swift,4,6,11,5058768,soty; best of 2025; synthpop; pop; female vocalist,True,The Life of a Showgirl,,
8,spotify:track:5eXgqtg3T8Av0m1FUaGHex,"Taylor Swift, Sabrina Carpenter",The Life of a Showgirl (feat. Sabrina Carpenter),Taylor Swift,6,7,11,4312479,pop; power pop; rnb; disco; acid rock,True,,,
9,spotify:track:2TEQvxxQabwLQMqWMg1qGu,Taylor Swift,Wi$h Li$t,Taylor Swift,7,8,11,4260787,pop; synthpop; fav; synth pop; dream,True,The Life of a Showgirl,,
11,spotify:track:5ylJtmaWPJ33cW3En7WOu0,Taylor Swift,Wood,Taylor Swift,5,9,11,4118208,pop; funk; disco; sexy; 70s,True,The Life of a Showgirl,,
12,spotify:track:1appZ3c336FkPvCuywfmrs,Taylor Swift,CANCELLED!,Taylor Swift,5,14,11,4010326,pop; soty; rock; female vocalist; singer-songwriter,True,The Life of a Showgirl,,
13,spotify:track:2x3mwb96B6TquRqMtbxUE1,Taylor Swift,Actually Romantic,Taylor Swift,6,13,11,3981350,pop rock; power pop; best of 2025; ended flopli xcx; disco,True,The Life of a Showgirl,,
15,spotify:track:62HoDY1Km6lm47haFpUn9c,Taylor Swift,Eldest Daughter,Taylor Swift,5,15,11,3708605,pop; 2020s; sad; experimental; ballad,True,The Life of a Showgirl,,
16,spotify:track:62V2ZHslgQV98gH4AuVXnr,Taylor Swift,Ruin The Friendship,Taylor Swift,10,17,11,3602374,pop; country pop; peter; soft rock; country,True,The Life of a Showgirl,,
18,spotify:track:4qmFC3Jz5aQ0erlk2OSi2X,Taylor Swift,Honey,Taylor Swift,12,19,11,3156151,pop; rnb; soft rock; metal; power pop,True,The Life of a Showgirl,,
196,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,-1,976,1163185,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
