rank,track_name,artist_names,streams,previous_rank,peak_rank
10,The Fate of Ophelia,Taylor Swift,4037302,10,1
47,Opalite,Taylor Swift,2136611,44,2
188,Style,Taylor Swift,1243379,188,12
