rank,track_name,artist_names,streams,previous_rank,peak_rank
1,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson",5477390,1,1
2,Risk It All,Bruno Mars,5202507,2,1
3,American Girls,Harry Styles,4885911,6,1
4,DtMF,Bad Bunny,4803627,3,1
5,Babydoll,Dominic Fike,4640997,4,4
6,End of Beginning,Djo,4518428,5,1
7,Man I Need,Olivia Dean,4449110,7,2
8,So Easy (To Fall In Love),Olivia Dean,4324240,8,5
9,back to friends,sombr,4171549,9,1
10,The Fate of Ophelia,Taylor Swift,4037302,10,1
11,Raindance (feat. Tems),"Dave, Tems",3805546,12,10
12,WHERE IS MY HUSBAND!,RAYE,3612061,15,5
13,BAILE INoLVIDABLE,Bad Bunny,3530055,11,2
14,NUEVAYoL,Bad Bunny,3499763,13,2
15,Lush Life,Zara Larsson,3480996,14,4
16,Aperture,Harry Styles,3456931,20,1
17,Ordinary,Alex Warren,3423180,16,1
18,I Just Might,Bruno Mars,3329403,17,3
19,"Ready, Steady, Go!",Harry Styles,3267572,21,2
20,Coming Up Roses,Harry Styles,3137655,23,8
21,Taste Back,Harry Styles,3107964,19,6
22,iloveitiloveitiloveit,Bella Kay,3085257,30,22
23,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",2980855,18,1
24,Are You Listening Yet?,Harry Styles,2920549,27,4
25,Die On This Hill,SIENNA SPIRO,2898664,24,8
26,Pop,Harry Styles,2843906,32,11
27,Tití Me Preguntó,Bad Bunny,2842164,22,4
28,Iris,The Goo Goo Dolls,2797923,29,9
29,EoO,Bad Bunny,2791643,25,4
30,Die With A Smile,"Lady Gaga, Bruno Mars",2748355,28,1
31,I Thought I Saw Your Face Today,She & Him,2724940,26,12
32,The Waiting Game,Harry Styles,2596458,33,10
33,Love Me Not,Ravyn Lenae,2589727,31,8
34,12 to 12,sombr,2558774,38,12
35,Season 2 Weight Loss,Harry Styles,2518019,36,12
36,Dance No More,Harry Styles,2493657,41,15
37,BIRDS OF A FEATHER,Billie Eilish,2483511,35,1
38,Sailor Song,Gigi Perez,2450838,34,5
39,Homewrecker,sombr,2428044,42,19
40,Sweater Weather,The Neighbourhood,2413252,40,12
41,Every Breath You Take,The Police,2360651,37,6
42,Manchild,Sabrina Carpenter,2356629,39,1
43,FEVER DREAM,Alex Warren,2324243,43,12
44,Carla's Song,Harry Styles,2284683,53,19
45,White Keys,Dominic Fike,2245775,51,44
46,E85,Don Toliver,2142009,49,21
47,Opalite,Taylor Swift,2136611,44,2
48,WILDFLOWER,Billie Eilish,2124598,45,8
49,As It Was,Harry Styles,2089178,80,1
50,(When You Gonna) Give It Up to Me - Radio Version,"Sean Paul, Keyshia Cole",2082583,48,38
51,Choosin' Texas,Ella Langley,2078763,46,42
52,No Broke Boys,"Disco Lines, Tinashe",2072264,52,6
53,Paint By Numbers,Harry Styles,2054574,67,22
54,Creep,Radiohead,2051753,56,22
55,Mr. Brightside,The Killers,2045870,54,40
56,I Wanna Be Yours,Arctic Monkeys,2014953,47,11
57,Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",1977706,55,28
58,Beautiful Things,Benson Boone,1957139,60,1
59,VOY A LLeVARTE PA PR,Bad Bunny,1951280,59,5
60,One Dance,"Drake, Wizkid, Kyla",1951107,50,5
61,That's What I Like,Bruno Mars,1926810,61,5
62,Don’t Say You Love Me,Jin,1909313,58,1
63,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",1900925,63,2
64,Yellow,Coldplay,1845031,68,15
65,Riptide,Vance Joy,1839607,57,28
66,Espresso,Sabrina Carpenter,1835072,65,1
67,Feel Good Inc.,"Gorillaz, De La Soul",1820031,77,39
68,Sparks,Coldplay,1808730,69,26
69,Gabriela,KATSEYE,1782228,62,7
70,Starboy,"The Weeknd, Daft Punk",1754256,90,1
71,Dreams - 2004 Remaster,Fleetwood Mac,1745891,66,17
72,undressed,sombr,1743704,101,6
73,LA VILLA,"Ryan Castro, Kapo, Gangsta",1742460,64,31
74,dopamina,"Peso Pluma, Tito Double P",1740200,74,11
75,Dracula - JENNIE Remix,"Tame Impala, JENNIE",1733963,95,47
76,Who Knows,Daniel Caesar,1732468,71,51
77,Qué Pasaría...,"Rauw Alejandro, Bad Bunny",1724208,72,12
78,Dracula,Tame Impala,1722664,86,27
79,In the End,Linkin Park,1707557,99,7
80,Cuando No Era Cantante,"El Bogueto, Yung Beef",1701264,70,13
81,Locked out of Heaven,Bruno Mars,1698986,91,14
82,Rein Me In (with Olivia Dean),"Sam Fender, Olivia Dean",1697606,97,82
83,LA CANCIÓN,"J Balvin, Bad Bunny",1695366,75,7
84,Lose Control,Teddy Swims,1693854,88,5
85,Who,Jimin,1673640,76,1
86,505,Arctic Monkeys,1669194,82,40
87,The Night We Met,Lord Huron,1667017,89,15
88,"All The Stars (with SZA) - From ""Black Panther: The Album""","Kendrick Lamar, SZA",1652593,93,2
89,The Man Who Can't Be Moved,The Script,1639296,79,79
90,daño,"Peso Pluma, Tito Double P",1638770,84,28
91,Pvta Luna,Neton Vega,1620169,87,49
92,That’s So True,Gracie Abrams,1602028,85,3
93,APT.,"ROSÉ, Bruno Mars",1599330,73,1
94,Fame is a Gun,Addison Rae,1599238,94,31
95,We Are The People,Empire Of The Sun,1578693,103,86
96,kota ini tak sama tanpamu,Nadhif Basalamah,1572835,78,27
