rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
48,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,23,23,2,112079,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
90,spotify:track:1wtOxkiel43cVs0Yux5Q4h,"Taylor Swift, Lana Del Rey",Snow On The Beach (feat. Lana Del Rey),Taylor Swift,42,42,2,81268,dream pop; pop; chill; ballad; synthpop,True,Snow on the beach (feat. Lana Del Rey),,
98,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,Taylor Swift,Lavender Haze,Taylor Swift,40,40,2,77797,pop; synthpop; dream pop; overrated; electropop,True,Midnights,,
122,spotify:track:3eX0NZfLtGzoLUxPNvRfqm,Taylor Swift,Maroon,Taylor Swift,56,56,2,67997,synthpop; pop; singer-songwriter; shoegaze; alt-pop,True,Midnights,,
128,spotify:track:4D7BCuvgdJlYvlX5WlN54t,Taylor Swift,"You're On Your Own, Kid",Taylor Swift,63,63,2,66075,pop; synthpop; dream pop; sad; overrated,True,Midnights [Clean],,
129,spotify:track:3rWDp9tBPQR9z6U5YyRSK4,Taylor Swift,Midnight Rain,Taylor Swift,70,70,2,65732,pop; synthpop; electropop; overrated; aoty,True,Midnights [Clean],,
151,spotify:track:1xwAWUI6Dj0WGC3KiUPN0O,Taylor Swift,Vigilante Shit,Taylor Swift,78,78,2,60545,pop; dark pop; synthpop; overrated; colleen hoover,True,Midnights,,
155,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,93,93,2,59649,pop; screamo; brutal death metal; metal; overrated,True,Midnights,,
162,spotify:track:0heeNYlwOGuUSe7TgUD27B,Taylor Swift,Question...?,Taylor Swift,85,85,2,58205,pop; singer-songwriter; electronic; synthpop; awful,True,Midnights,,
181,spotify:track:3qoftcUZaUOncvIYjFSPdE,Taylor Swift,Bejeweled,Taylor Swift,103,103,2,53310,pop; bubblegum pop; 2022; synthpop; female vocalists,True,Midnights [Clean],,
