rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
3,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,3,231,4232443,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
35,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,12,44,198,1986334,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
36,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,14,40,668,1972731,pop; love at first listen; 2014; female vocalists; best of 2014,True,1989,,
52,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,54,339,1751200,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
55,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,4,66,228,1729373,dream pop; folk; folk pop; indie pop; indie,True,folklore: the long pond studio sessions (from the Disney+ special),,
74,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,87,294,1476016,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,
77,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,94,242,1402880,pop; country; love; indie folk; country pop,True,You Belong With Me,,
109,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,120,406,1239887,pop; electropop; gospel; edm; exile,True,Golden Collection,,
136,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,8,138,213,1157420,pop; screamo; brutal death metal; metal; overrated,True,Midnights,,
183,spotify:track:0cqRj7pUJDkTCEsJkx8snD,Taylor Swift,Shake It Off,Taylor Swift,54,172,136,1049480,pop; 2014; haters gonna hate; taylor swift; love at first listen,True,1989,,
