pop_rank,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release,previous_pop_rank
22,51,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,"Taylor Swift, Post Malone",Fortnight (feat. Post Malone),Taylor Swift,11,48,12,128650,pop; best of 2024; soty; synthpop; singer-songwriter,True,The Tortured Poets Department (Webstore Exclusive),,,21.0
37,110,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,36,128,212,78793,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,2023-10-18,195,43.0
50,153,spotify:track:4q5YezDOIPcoLr8R81x9qy,Taylor Swift,I Can Do It With a Broken Heart,Taylor Swift,56,126,12,67730,pop; best of 2024; synthpop; dance-pop; soty,True,THE TORTURED POETS DEPARTMENT,2024-04-19,11,42.0
