rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,album,release_date,days_since_release
1,spotify:track:1Iq8oo9XkmmvCQiGOfORiz,Taylor Swift,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1,2,4,6405647,pop; synthpop; synthwave; electropop; masterpiece,1989 (Taylor’s Version) (Deluxe),,
2,spotify:track:5KD6AEm19QnMbfWpfoOHMl,Taylor Swift,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,2,3,4,5668607,from the vault; synthpop; dance-pop; female vocalist; alt-pop,1989 (Taylor’s Version) (Deluxe),,
5,spotify:track:4NioO5R9sHEZh4cGzMHyNt,Taylor Swift,Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift,4,7,4,5051842,pop; synthpop; pop rock; female vocalists; singer songwriter,1989 (Taylor’s Version) (Deluxe),,
6,spotify:track:71BqAINEnezjQfxE4VuJfq,Taylor Swift,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,2,5,4,4978730,synthpop; pop; dream pop; female vocalists; singer song writer,1989 (Taylor’s Version) (Deluxe),,
10,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,11,267,4501885,electropop; pop; synthpop; industrial pop; synthwave,Lover,,
12,spotify:track:1hjRhYpWyqDpPahmSlUTlc,Taylor Swift,Style (Taylor's Version),Taylor Swift,1,9,4,4086392,better than original; pop; pop perfection; synthpop; synthwave,1989 (Taylor's Version),,
15,spotify:track:6T0sEnqjmHISIKwFETeeiP,Taylor Swift,Suburban Legends (Taylor's Version) (From The Vault),Taylor Swift,9,14,4,3770425,synthpop; from the vault; synth pop; amazing; suburban legends,1989 (Taylor’s Version) (Deluxe),,
16,spotify:track:45wMBGri1PORPjM9PwFfrS,Taylor Swift,Blank Space (Taylor's Version),Taylor Swift,3,13,4,3491558,electropop; pop; synthpop; teen pop; taylor swift,1989 (Taylor's Version),,
19,spotify:track:045ZeOHPIzhxxsm8bq5kyE,Taylor Swift,Out Of The Woods (Taylor's Version),Taylor Swift,8,15,4,3324492,synthpop; electropop; my top songs; pop; goodgirl owns this song,1989 (Taylor's Version),,
21,spotify:track:1K39ty6o1sHwwlZwO6a7wK,Taylor Swift,Wildest Dreams (Taylor's Version),Taylor Swift,12,21,76,3161362,pop; dream pop; synthpop; ballad; lana del rey -ish,1989 (Taylor's Version),,
22,spotify:track:1hR8BSuEqPCCZfv93zzzz9,Taylor Swift,Welcome To New York (Taylor's Version),Taylor Swift,6,19,4,3052869,synthpop; electropop; pop; female vocalist; disco,1989 (Taylor's Version),,
25,spotify:track:6GXgd1BPD9bUpqw5AntGV5,Taylor Swift,All You Had To Do Was Stay (Taylor's Version),Taylor Swift,10,24,4,2808426,synthpop; pop; pop rock; electropop; taylors version,1989 (Taylor's Version),,
26,spotify:track:2vPMoMDXxu9uX1igWZmXSG,Taylor Swift,New Romantics (Taylor's Version),Taylor Swift,15,27,4,2727343,synthpop; female vocalist; electropop; pop; radio,1989 (Taylor's Version),,
28,spotify:track:2ByBBvpR9b7IynvRmnG7kG,Taylor Swift,Clean (Taylor's Version),Taylor Swift,16,28,4,2601857,masterpiece; pop; female vocalist; ambient; indietronica,1989 (Taylor's Version),,
32,spotify:track:3pv7Q5v2dpdefwdWIvE7yH,Taylor Swift,Shake It Off (Taylor's Version),Taylor Swift,11,26,4,2569588,dance-pop; pop; teen pop; pep band; marching band,1989 (Taylor's Version),,
36,spotify:track:43y1WpBdnEy5TR9aZoSQL9,Taylor Swift,I Wish You Would (Taylor's Version),Taylor Swift,14,30,4,2467419,bubblegum pop; electropop; synthwave; synthpop; female vocalist,1989 (Taylor's Version),,
39,spotify:track:2f0GI2ZLUtbGqFx8t2Gk6A,Taylor Swift,I Know Places (Taylor's Version),Taylor Swift,19,35,4,2345339,pop; drum and bass; electropop; synthpop; electronic,1989 (Taylor's Version),,
42,spotify:track:64FzgoLZ3oXu2SriZblHic,Taylor Swift,Bad Blood (Taylor's Version),Taylor Swift,13,33,4,2300706,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,1989 (Taylor's Version),,
43,spotify:track:75W3SngKzTuoQ94uLf3y82,Taylor Swift,How You Get The Girl (Taylor's Version),Taylor Swift,17,36,4,2294165,bubblegum pop; electropop; pop; female vocalist; synth-pop,1989 (Taylor's Version),,
48,spotify:track:2ve0kuaWUCt4Zx8x4bf1MR,Taylor Swift,Wonderland (Taylor's Version),Taylor Swift,21,41,4,2250181,pop; electropop; melodic dubstep; singer-songwriter; amazing,1989 (Taylor's Version),,
49,spotify:track:5QVVjX0ZItqlVpEuVCM9Yg,Taylor Swift,This Love (Taylor’s Version),Taylor Swift,22,40,17,2237104,pop; synthpop; dream pop; soft rock; ethereal,This Love (Taylor’s Version),,
51,spotify:track:4UwqOWDpdeIDVQDuKT6iza,Taylor Swift,You Are In Love (Taylor's Version),Taylor Swift,25,46,4,2197612,ambient; pop; beautiful; synthpop; masterpiece,1989 (Taylor's Version),,
60,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,61,375,1861449,rock; grunge; 90s; test-tag; batch-test,Midnights [Clean],,
61,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,12,58,234,1855590,pop; synthpop; love at first listen; taylor swift; 1989,1989,,
65,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,67,278,1775777,pop; country; love; indie folk; country pop,You Belong With Me,,
68,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,14,62,704,1757715,pop; love at first listen; 2014; female vocalists; best of 2014,1989,,
77,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,4,79,264,1646281,dream pop; folk; folk pop; indie pop; indie,folklore: the long pond studio sessions (from the Disney+ special),,
80,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,89,330,1624500,folk pop; folk; chamber pop; singer-songwriter; indie,Now That's What I Call Music! Vol. 76,,
82,spotify:track:6qAcApH8obo8eqatCKUHd9,"Taylor Swift, Kendrick Lamar",Bad Blood (feat. Kendrick Lamar) (Taylor's Version),Taylor Swift,40,65,4,1583558,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,,,
