rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
2,spotify:track:1Iq8oo9XkmmvCQiGOfORiz,Taylor Swift,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1,1,6,5242324,pop; synthpop; synthwave; electropop; masterpiece,True,1989 (Taylor’s Version) (Deluxe),2023-10-27,5
6,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,8,269,4385563,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
7,spotify:track:5KD6AEm19QnMbfWpfoOHMl,Taylor Swift,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,2,4,6,4340528,from the vault; synthpop; dance-pop; female vocalist; alt-pop,True,1989 (Taylor’s Version) (Deluxe),,
11,spotify:track:71BqAINEnezjQfxE4VuJfq,Taylor Swift,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,2,10,6,3655604,synthpop; pop; dream pop; female vocalists; singer song writer,True,1989 (Taylor’s Version) (Deluxe),,
13,spotify:track:4NioO5R9sHEZh4cGzMHyNt,Taylor Swift,Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift,4,11,6,3534699,pop; synthpop; pop rock; female vocalists; singer songwriter,True,1989 (Taylor’s Version) (Deluxe),,
19,spotify:track:1hjRhYpWyqDpPahmSlUTlc,Taylor Swift,Style (Taylor's Version),Taylor Swift,1,19,6,2785680,better than original; pop; pop perfection; synthpop; synthwave,True,1989 (Taylor's Version),,
22,spotify:track:6T0sEnqjmHISIKwFETeeiP,Taylor Swift,Suburban Legends (Taylor's Version) (From The Vault),Taylor Swift,9,21,6,2619542,synthpop; from the vault; synth pop; amazing; suburban legends,True,1989 (Taylor’s Version) (Deluxe),,
28,spotify:track:45wMBGri1PORPjM9PwFfrS,Taylor Swift,Blank Space (Taylor's Version),Taylor Swift,3,26,6,2417670,electropop; pop; synthpop; teen pop; taylor swift,True,1989 (Taylor's Version),,
31,spotify:track:1K39ty6o1sHwwlZwO6a7wK,Taylor Swift,Wildest Dreams (Taylor's Version),Taylor Swift,12,29,78,2304804,pop; dream pop; synthpop; ballad; lana del rey -ish,True,1989 (Taylor's Version),,
35,spotify:track:045ZeOHPIzhxxsm8bq5kyE,Taylor Swift,Out Of The Woods (Taylor's Version),Taylor Swift,8,28,6,2236778,synthpop; electropop; my top songs; pop; goodgirl owns this song,True,1989 (Taylor's Version),,
41,spotify:track:1hR8BSuEqPCCZfv93zzzz9,Taylor Swift,Welcome To New York (Taylor's Version),Taylor Swift,6,36,6,2063432,synthpop; electropop; pop; female vocalist; disco,True,1989 (Taylor's Version),,
51,spotify:track:2vPMoMDXxu9uX1igWZmXSG,Taylor Swift,New Romantics (Taylor's Version),Taylor Swift,15,46,6,1866544,synthpop; female vocalist; electropop; pop; radio,True,1989 (Taylor's Version),,
52,spotify:track:6GXgd1BPD9bUpqw5AntGV5,Taylor Swift,All You Had To Do Was Stay (Taylor's Version),Taylor Swift,10,44,6,1863096,synthpop; pop; pop rock; electropop; taylors version,True,1989 (Taylor's Version),,
56,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,64,377,1780146,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
