rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,spotify:track:5enxwA8aAbwZbf5qCHORXi,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,1,-1,1,6673846
4,spotify:track:4OAuvHryIVv4kMDNSLuPt6,Taylor Swift,Red (Taylor's Version),Taylor Swift,4,-1,1,4967646
7,spotify:track:1IBhYEvvi02tDVByxIiTh4,Taylor Swift,All Too Well (Taylor's Version),Taylor Swift,7,-1,1,4374870
9,spotify:track:6tNSmBKSjFV1366ASuULfZ,Taylor Swift,I Knew You Were Trouble (Taylor's Version),Taylor Swift,9,-1,1,4264232
12,spotify:track:5lFDIbYMcFHPPgzMcnPqSz,Taylor Swift,State Of Grace (Taylor's Version),Taylor Swift,12,-1,1,4058851
13,spotify:track:2T9WeqSMJJb8YBDHPYGU4p,Taylor Swift,22 (Taylor's Version),Taylor Swift,13,-1,1,3911785
15,spotify:track:31CdkzHnMbvJuKZvtCQfR6,Taylor Swift,We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,15,-1,1,3592681
18,spotify:track:0YrMTMLpLq1UIkWgghNM6c,Taylor Swift,Treacherous (Taylor's Version),Taylor Swift,18,-1,1,3512231
20,spotify:track:01K4zKU104LyJ8gMb7227B,"Taylor Swift, Phoebe Bridgers",Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Taylor Swift,20,-1,1,3136993
21,spotify:track:2r9CbjYgFhtAmcFv1cSquB,Taylor Swift,I Almost Do (Taylor's Version),Taylor Swift,21,-1,1,3117452
23,spotify:track:4IQkfUsrwXol38VV3U7t7T,"Taylor Swift, Ed Sheeran",Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),Taylor Swift,23,-1,1,3004874
24,spotify:track:5uQQcvcXoCwKPK5sYvarzO,"Taylor Swift, Ed Sheeran",Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Taylor Swift,24,-1,1,2988393
26,spotify:track:1ftFtW8S1621tu0MIQy0Sg,Taylor Swift,Stay Stay Stay (Taylor's Version),Taylor Swift,26,-1,1,2964136
28,spotify:track:1gWRnZ52AK1ZUvpjjTteKf,Taylor Swift,Better Man (Taylor's Version) (From The Vault),Taylor Swift,28,-1,1,2898283
29,spotify:track:0y6kdSRCVQhSsHSpWvTUm7,"Taylor Swift, Gary Lightbody",The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),Taylor Swift,29,-1,1,2820097
33,spotify:track:661CJWXysgwKXI1dreYNBU,Taylor Swift,Holy Ground (Taylor's Version),Taylor Swift,33,-1,1,2628699
35,spotify:track:3z6XUommYDWPHeFhmhhT6j,Taylor Swift,Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,35,-1,1,2561047
36,spotify:track:05GsNucq8Bngd9fnd4fRa0,Taylor Swift,Begin Again (Taylor's Version),Taylor Swift,36,-1,1,2558716
37,spotify:track:0v4z1tuZvn6LGknom9Qx7d,Taylor Swift,Babe (Taylor's Version) (From The Vault),Taylor Swift,37,-1,1,2511550
38,spotify:track:4CkgMiMqZ5JzW9iYXSTMTL,"Taylor Swift, Chris Stapleton",I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Taylor Swift,38,-1,1,2506493
41,spotify:track:4e5ayHsOLJNLTGfjau2mEw,Taylor Swift,The Lucky One (Taylor's Version),Taylor Swift,41,-1,1,2389222
43,spotify:track:21SralRv4ucDT3i1rYrr85,Taylor Swift,Sad Beautiful Tragic (Taylor's Version),Taylor Swift,43,-1,1,2382979
47,spotify:track:2bspOurPlpKv27SVt7UbHy,Taylor Swift,Starlight (Taylor's Version),Taylor Swift,47,-1,1,2303813
48,spotify:track:4pNApnaUWAL2J4KO2eqokq,Taylor Swift,Come Back...Be Here (Taylor's Version),Taylor Swift,48,-1,1,2282404
51,spotify:track:0NRHj8hDwwmSPaA41o379r,Taylor Swift,The Moment I Knew (Taylor's Version),Taylor Swift,51,-1,1,2222465
55,spotify:track:6pYNq0ZwpPVazKzsqpf0G8,Taylor Swift,The Very First Night (Taylor's Version) (From The Vault),Taylor Swift,55,-1,1,2132940
56,spotify:track:0EepXu0NfnnUX8efEZR167,Taylor Swift,Forever Winter (Taylor's Version) (From The Vault),Taylor Swift,56,-1,1,2126599
59,spotify:track:0DMVrlMUn01M0IcpDbwgu7,Taylor Swift,Girl At Home (Taylor's Version),Taylor Swift,59,-1,1,2032127
70,spotify:track:0WE0h1qUWJBt97DtvuMWRN,Taylor Swift,Ronan (Taylor's Version),Taylor Swift,70,-1,1,1837652
73,spotify:track:3CiOGu8nBPGfrJr4whAOZX,Taylor Swift,State Of Grace (Acoustic Version) (Taylor's Version),Taylor Swift,73,-1,1,1793104
94,spotify:track:04S1pkp1VaIqjg8zZqknR5,Taylor Swift,Enchanted,Taylor Swift,53,53,5,1414010
128,spotify:track:1Ov37jtRQ2YNAe8HzfczkL,Taylor Swift,Wildest Dreams (Taylor's Version),Taylor Swift,19,129,52,1097921
155,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,122,145,49,962429
182,spotify:track:1q3RiD1tIWUpGsNFADMlvl,Taylor Swift,All Too Well,Taylor Swift,86,86,3,893671
