rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
12,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,5,13,134,2853699,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
27,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,27,242,2267054,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
43,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,43,46,571,1928800,pop; love at first listen; 2014; female vocalists; best of 2014,True,1989,,
55,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,55,56,101,1760251,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
66,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,70,197,1639451,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,
70,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,8,82,116,1592751,pop; screamo; brutal death metal; metal; overrated,True,Midnights,,
74,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,Enchanted,Taylor Swift,46,76,165,1534532,country; pop; taylor swift; love; country pop,True,Speak Now,,
105,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,122,309,1361144,pop; electropop; gospel; edm; exile,True,Golden Collection,,
131,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,140,145,1261827,pop; country; love; indie folk; country pop,True,You Belong With Me,,
163,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,9,164,132,1164351,dream pop; folk; folk pop; indie pop; indie,True,folklore: the long pond studio sessions (from the Disney+ special),,
177,spotify:track:0cqRj7pUJDkTCEsJkx8snD,Taylor Swift,Shake It Off,Taylor Swift,124,179,47,1106881,pop; 2014; haters gonna hate; taylor swift; love at first listen,True,1989,,
