rank,track_name,artist_names,streams,previous_rank,peak_rank
1,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson",5263982,1,1
2,American Girls,Harry Styles,5145292,2,1
3,Risk It All,Bruno Mars,5024305,3,1
4,DtMF,Bad Bunny,4651745,4,1
5,Babydoll,Dominic Fike,4606882,5,4
6,End of Beginning,Djo,4362394,6,1
7,Man I Need,Olivia Dean,4253228,7,2
8,So Easy (To Fall In Love),Olivia Dean,4126149,8,5
9,The Fate of Ophelia,Taylor Swift,4002444,10,1
10,back to friends,sombr,3928129,9,1
11,Raindance (feat. Tems),"Dave, Tems",3759174,11,10
12,BAILE INoLVIDABLE,Bad Bunny,3507894,12,2
13,NUEVAYoL,Bad Bunny,3424343,14,2
14,Ordinary,Alex Warren,3393872,16,1
15,WHERE IS MY HUSBAND!,RAYE,3375687,13,5
16,iloveitiloveitiloveit,Bella Kay,3191048,21,16
17,I Just Might,Bruno Mars,3181780,18,3
18,Taste Back,Harry Styles,3080818,20,6
19,Lush Life,Zara Larsson,3053472,15,4
20,Coming Up Roses,Harry Styles,3042211,17,8
21,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",2978914,23,1
22,Aperture,Harry Styles,2890374,19,1
23,Iris,The Goo Goo Dolls,2867293,25,9
24,"Ready, Steady, Go!",Harry Styles,2817630,22,2
25,Die With A Smile,"Lady Gaga, Bruno Mars",2804020,28,1
26,Die On This Hill,SIENNA SPIRO,2801275,24,8
27,EoO,Bad Bunny,2772882,27,4
28,Tití Me Preguntó,Bad Bunny,2766857,26,4
29,Love Me Not,Ravyn Lenae,2600823,32,8
30,I Thought I Saw Your Face Today,She & Him,2580530,31,12
31,BIRDS OF A FEATHER,Billie Eilish,2509659,35,1
32,Pop,Harry Styles,2478694,30,11
33,Sailor Song,Gigi Perez,2449953,36,5
34,12 to 12,sombr,2432385,34,12
35,Are You Listening Yet?,Harry Styles,2429882,29,4
36,Sweater Weather,The Neighbourhood,2365233,37,12
37,Manchild,Sabrina Carpenter,2332720,40,1
38,Homewrecker,sombr,2331082,38,19
39,Every Breath You Take,The Police,2305688,42,6
40,White Keys,Dominic Fike,2278561,44,40
41,The Waiting Game,Harry Styles,2236962,33,10
42,FEVER DREAM,Alex Warren,2190941,43,12
43,Dance No More,Harry Styles,2155749,41,15
44,Season 2 Weight Loss,Harry Styles,2153536,39,12
45,(When You Gonna) Give It Up to Me - Radio Version,"Sean Paul, Keyshia Cole",2112789,48,38
46,WILDFLOWER,Billie Eilish,2112378,46,8
47,Opalite,Taylor Swift,2108420,47,2
48,Carla's Song,Harry Styles,2092902,45,19
49,Creep,Radiohead,2092137,49,22
50,I Wanna Be Yours,Arctic Monkeys,2016845,56,11
51,Mr. Brightside,The Killers,2002811,52,40
52,Beautiful Things,Benson Boone,2002627,55,1
53,E85,Don Toliver,1978231,50,21
54,Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",1974839,53,28
55,Choosin' Texas,Ella Langley,1974111,54,42
56,No Broke Boys,"Disco Lines, Tinashe",1970407,51,6
57,One Dance,"Drake, Wizkid, Kyla",1955902,58,5
58,VOY A LLeVARTE PA PR,Bad Bunny,1906663,57,5
59,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",1894562,62,2
60,Yellow,Coldplay,1884183,63,15
61,Riptide,Vance Joy,1856120,68,28
62,Don’t Say You Love Me,Jin,1845626,61,1
63,That's What I Like,Bruno Mars,1844145,60,5
64,Espresso,Sabrina Carpenter,1841118,65,1
65,Feel Good Inc.,"Gorillaz, De La Soul",1830084,66,39
66,dopamina,"Peso Pluma, Tito Double P",1827755,69,11
67,Dracula,Tame Impala,1804586,67,27
68,Locked out of Heaven,Bruno Mars,1790799,76,14
69,Dracula - JENNIE Remix,"Tame Impala, JENNIE",1777238,75,47
70,505,Arctic Monkeys,1773322,80,40
71,Starboy,"The Weeknd, Daft Punk",1762548,71,1
72,Sparks,Coldplay,1754006,72,26
73,Dreams - 2004 Remaster,Fleetwood Mac,1749803,78,17
74,In the End,Linkin Park,1746265,74,7
75,Cuando No Era Cantante,"El Bogueto, Yung Beef",1738336,86,13
76,Qué Pasaría...,"Rauw Alejandro, Bad Bunny",1722193,73,12
77,Paint By Numbers,Harry Styles,1718248,59,22
78,LA VILLA,"Ryan Castro, Kapo, Gangsta",1717846,77,31
79,As It Was,Harry Styles,1709571,64,1
80,Gabriela,KATSEYE,1699002,70,7
81,undressed,sombr,1693485,82,6
82,Lose Control,Teddy Swims,1688092,85,5
83,Who Knows,Daniel Caesar,1677599,79,51
84,Who,Jimin,1675424,83,1
85,Rein Me In (with Olivia Dean),"Sam Fender, Olivia Dean",1669525,81,81
86,The Man Who Can't Be Moved,The Script,1667901,88,79
87,The Night We Met,Lord Huron,1652667,87,15
88,LA CANCIÓN,"J Balvin, Bad Bunny",1649194,84,7
89,"All The Stars (with SZA) - From ""Black Panther: The Album""","Kendrick Lamar, SZA",1640155,89,2
90,daño,"Peso Pluma, Tito Double P",1631156,90,28
91,APT.,"ROSÉ, Bruno Mars",1616009,95,1
92,That’s So True,Gracie Abrams,1604975,93,3
93,Bring Me To Life,Evanescence,1588429,96,72
94,We Are The People,Empire Of The Sun,1578754,99,86
95,Just the Way You Are,Bruno Mars,1575830,92,24
96,"Good Luck, Babe!",Chappell Roan,1574396,100,5
97,Bairan,Banjaare,1567937,128,97
98,Pvta Luna,Neton Vega,1566213,91,49
99,kota ini tak sama tanpamu,Nadhif Basalamah,1542582,98,27
100,chiclona,"Peso Pluma, Tito Double P, LENCHO",1540112,135,100
101,Viva La Vida,Coldplay,1530364,103,27
102,Numb,Linkin Park,1528829,107,12
103,Fame is a Gun,Addison Rae,1525554,94,31
104,Body,Don Toliver,1517716,97,18
105,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",1514451,115,1
106,Danza Kuduro,"Don Omar, Lucenzo",1508240,106,55
107,Ya Borracho,Herencia De Grandes,1506238,108,48
108,No One Noticed,The Marías,1503072,110,32
109,VeLDÁ,"Bad Bunny, Omar Courtz, Dei V",1500106,101,8
110,Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",1494084,112,2
111,A Couple Minutes,Olivia Dean,1489127,113,57
112,Smells Like Teen Spirit,Nirvana,1488480,119,92
113,Billie Jean,Michael Jackson,1487893,102,35
114,Let Me Love You,"DJ Snake, Justin Bieber",1483721,116,3
115,Cinnamon Girl,Lana Del Rey,1476499,109,70
116,What You Saying,Lil Uzi Vert,1466887,111,33
117,Midnight Sun,Zara Larsson,1465528,105,95
118,The Less I Know The Better,Tame Impala,1457141,117,82
119,La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums",1456737,123,4
120,When I Was Your Man,Bruno Mars,1456645,121,28
121,Give Me Everything (feat. Nayer),"Pitbull, AFROJACK, Ne-Yo, Nayer",1455654,104,58
122,7-3,"Peso Pluma, Tito Double P",1445985,120,40
123,Shape of You,Ed Sheeran,1434070,126,1
124,Todo Lo Fue,Lenin Ramírez,1432436,122,53
125,Somewhere Only We Know,Keane,1423325,131,60
126,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",1422489,118,13
127,Bahagia Lagi,Piche Kota,1421333,129,70
128,Another Love,Tom Odell,1416643,133,11
129,no tiene sentido,Beéle,1397307,137,15
130,No Pole,Don Toliver,1393865,114,58
131,Si Antes Te Hubiera Conocido,KAROL G,1391789,143,4
132,Young And Beautiful,Lana Del Rey,1389032,127,79
133,CHANEL,Tyla,1388851,125,8
134,Perfect,Ed Sheeran,1385390,145,3
135,COQUETA,"Fuerza Regida, Grupo Frontera",1381370,134,76
136,Blinding Lights,The Weeknd,1381273,139,1
137,Shut up My Moms Calling,Hotel Ugly,1380100,158,63
138,Without Me,Eminem,1375860,146,29
139,Photograph,Ed Sheeran,1375802,138,40
140,Counting Stars,OneRepublic,1375579,136,78
141,Marlboro Rojo,Fuerza Regida,1373584,132,13
142,Nice To Each Other,Olivia Dean,1372427,124,44
143,Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",1364580,141,57
144,luther (with sza),"Kendrick Lamar, SZA",1363406,144,2
145,Let Down,Radiohead,1353210,140,49
146,Have You Ever Seen The Rain,Creedence Clearwater Revival,1348643,163,58
147,Apocalypse,Cigarettes After Sex,1347929,155,44
148,GO,BLACKPINK,1342463,130,9
149,we can't be friends (wait for your love),Ariana Grande,1338966,164,1
150,Folded,Kehlani,1332921,147,54
151,Can't Stop,Red Hot Chili Peppers,1332172,189,107
152,Closer,"The Chainsmokers, Halsey",1323648,152,2
153,Just Keep Watching (From F1® The Movie),"Tate McRae, F1 The Album",1322144,165,7
154,Only Girl (In The World),Rihanna,1320382,153,45
155,Unforgettable,"French Montana, Swae Lee",1317561,149,3
156,Kiss It Better,Rihanna,1317402,151,130
157,Sedia Aku Sebelum Hujan,Idgitaf,1312798,148,15
158,We Found Love,"Rihanna, Calvin Harris",1309738,156,18
159,DAISIES,Justin Bieber,1308661,157,1
160,From The Start,Laufey,1305074,161,77
161,Somewhere I Belong,Linkin Park,1301200,160,63
162,Don't Stop The Music,Rihanna,1299147,154,73
163,Night Changes,One Direction,1289556,176,6
164,Dance With Me,Bruno Mars,1287970,142,67
165,Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean",1286064,150,63
166,Africa,TOTO,1282956,159,66
167,Gangsta's Paradise,"Coolio, L.V.",1281502,168,11
168,Take Me To Church,Hozier,1280251,177,91
169,4 Raws,EsDeeKid,1272715,166,29
170,The Scientist,Coldplay,1272102,178,63
171,Sweet Child O' Mine,Guns N' Roses,1272081,169,94
172,Me Rehúso,Danny Ocean,1267863,188,18
173,Something Just Like This,"The Chainsmokers, Coldplay",1262713,185,2
174,The Chain - 2004 Remaster,Fleetwood Mac,1262393,187,103
175,Payphone,"Maroon 5, Wiz Khalifa",1262240,162,46
176,It Will Rain,Bruno Mars,1261217,184,29
