rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
48,"spotify:track:2RqZ8JUBXP4C0nzttGnTL1","Corneille, Aya Nakamura, Trinix","Avec classe (feat. Aya Nakamura & Trinix)","Wagram Music / W Lab",25,43,129,"125067"
49,"spotify:track:0y2JXGqNraYN2gbnSLguWk","SCH","Prequel","Maison Baron Rouge / WMF",7,42,10,"122149"
50,"spotify:track:4BVcVEp6Df9VQN5qFwxDn3","Slimane","Mon amour","Universal Music Division Capitol Music France",4,52,213,"121680"
51,"spotify:track:6XvpC5A373UZAKJOHRryB4","SCH","Cannelloni","Maison Baron Rouge / WMF",10,45,25,"121064"
52,"spotify:track:7wLShogStyDeZvL0a6daN5","Beyoncé","TEXAS HOLD 'EM","Parkwood Entertainment/Columbia",5,49,119,"116095"
53,"spotify:track:2pSmuV6Vt0KkJLoEfB2DxW","Jul","Tié fou","D'Or et de Platine",36,57,3,"115611"
54,"spotify:track:0LrR09OWMytBTDwMVYicPv","Kerchak","Saison 2","Label Blue Sky",12,61,130,"115052"
55,"spotify:track:6d29vrc4oW2eLnce53XFCK","Jul","Mafiosa","D'Or et de Platine",25,50,3,"115021"
56,"spotify:track:4ZBslg1i1eHVOMhZZoX5fx","Bouss","Parler tout bas","Le Grand Carré / Level Up Music",49,62,28,"112814"
57,"spotify:track:5uQ7de4EWjb3rkcFxyEOpu","Mark Ambor","Belong Together","Hundred Days Records, LLC",55,55,55,"112774"
58,"spotify:track:0EzNyXyU7gHzj2TN8qYThj","SDM","Bolide allemand","92i / Capitol Music France",1,56,556,"112314"
59,"spotify:track:3kzXT2poHInDISrXOgT1PR","Werenoi","Solitaire","PGP Records",13,63,670,"107801"
60,"spotify:track:1iM4agLs3G8ihIHEcWojcN","Kore, Hamza","Lalla (feat. Hamza)","RCA Group",34,64,17,"107479"
61,"spotify:track:22skzmqfdWrjJylampe0kt","Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton","Can't Hold Us (feat. Ray Dalton)","Macklemore",8,58,1109,"107308"
62,"spotify:track:2BvjmY4Mp5q1AHL0laetd6","Heuss L'enfoiré, Gazo","Saiyan","AllPoints",1,65,374,"107103"
63,"spotify:track:3dj4wgM3cPeuLwMNHDuBon","Teddy Swims","The Door","Warner Records",54,54,67,"105143"
64,"spotify:track:2qvNjj0E3whohTikQRaRR4","Jul","Me prends pas la tête","D'Or et de Platine",26,59,3,"102162"
65,"spotify:track:2fisgK2Gvu3Fn2yShuZqaO","Cappuccino","Wa zebi","A2F Publishing",56,66,21,"98998"
66,"spotify:track:3Ld5LzZFDjflMqTtcotYFh","Jul","GTA","D'Or et de Platine",48,60,3,"98173"
67,"spotify:track:2OzhQlSqBEmt7hmkYxfT6m","Taylor Swift, Post Malone","Fortnight (feat. Post Malone)","Taylor Swift",11,67,52,"96074"
68,"spotify:track:7xZrirKz1fymGxGVPtRRRk","Joseph Kamel, Julien Doré","Beau (feat. Julien Doré)","Duchess Publishing",41,68,113,"95470"
69,"spotify:track:7A2DyRIqqelhZ4caPJMaFI","Favé","Urus","Morning Glory Music / 109 Record",2,74,607,"94562"
70,"spotify:track:7GLtEcaxxQpdK63YsiG51g","PLK, Gazo","Ça mène à rien","Panenka Music",2,75,143,"92841"
71,"spotify:track:4v9cohT8ERXNMbYs34JI7V","Werenoi","Mauvaise","AllPoints",18,76,222,"90296"
72,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",15,100,1041,"89552"
73,"spotify:track:7yq4Qj7cqayVTp3FF9CWbm","Vance Joy","Riptide","F-Stop Records/Atlantic",54,87,350,"89439"
74,"spotify:track:51eSHglvG1RJXtL3qI5trr","Benson Boone","Slow It Down","Night Street Records, Inc./Warner Records Inc.",71,71,55,"89113"
75,"spotify:track:0Jh6iWjna1wk5le0Ahn7No","Ninho","La vie qu'on mène","Rec. 118 / Mal Luné Music",2,79,1907,"88343"
76,"spotify:track:17jlkHSNHFu1zUuu8QZyOW","Dinos","Placebo","SPKTAQLR",39,84,659,"88296"
77,"spotify:track:5AJ9hqTS2wcFQCELCFRO7A","Tommy Richman","MILLION DOLLAR BABY","PULSE Records",29,139,37,"88201"
78,"spotify:track:6D8y7Bck8h11byRY88Pt2z","Dua Lipa","Houdini","Warner Records",8,72,213,"87044"
79,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,77,801,"86764"
80,"spotify:track:7d391WfC0HtftRcetDFQUy","PLK","Nouvelles","Panenka Music",3,89,423,"86513"
81,"spotify:track:65WsGJwQxiaHsNsxaicEB2","R3HAB, Pelican","Loca Loca","Island Records",48,69,94,"86371"
82,"spotify:track:5N3hjp1WNayUPZrA8kJmJP","Sabrina Carpenter","Please Please Please","Island Records",82,189,3,"86290"
83,"spotify:track:7DSAEUvxU8FajXtRloy8M0","Miley Cyrus","Flowers","Columbia",1,73,514,"85594"
84,"spotify:track:14j9HbZoSdTooGK12uTNRc","Alonzo","HASTA LA VISTA","ONLY PRO",84,86,5,"85512"
85,"spotify:track:3oLn9QmwHO8Yu7NRCdAfIj","Werenoi","All eyes on me","PGP Records",49,96,387,"85454"
86,"spotify:track:5QKXM4zRBrVzofZJxlO5tL","Pierre Garnier","Chaque seconde","Columbia",83,132,3,"85372"
87,"spotify:track:4wNyrbY6B2Okii8VeKo2B2","Tiakola","Meuda","Wati-B",1,92,742,"85169"
88,"spotify:track:3Vr3zh0r7ALn8VLqCiRR10","Myles Smith","Stargazing","RCA Records Label",74,83,15,"84587"
89,"spotify:track:4QIH0XYnCLoCl1WZIV08Pn","Zaho de Sagazan","La symphonie des éclairs","Disparate / Virgin Records Distribution Deal",19,99,122,"83755"
90,"spotify:track:26Anqi86HCCG57L5CE0gTr","Jul, SDM","J'fais plaisir à la zone","D'Or et de Platine",3,82,185,"81833"
91,"spotify:track:5f5fBrOBCOpLoFaWao5RXu","Gambi","PETETE","Rec. 118",1,88,554,"81613"
92,"spotify:track:3rSMUsn6iewZ667OcduIL4","THEODORT","Toko dombi","BUDOKAI / ERRRO",15,102,84,"81022"
93,"spotify:track:7iabz12vAuVQYyekFIWJxD","Central Cee, Lil Baby","BAND4BAND (feat. Lil Baby)","Columbia",69,90,14,"80917"
94,"spotify:track:51ZQ1vr10ffzbwIjDCwqm4","Ariana Grande","we can't be friends (wait for your love)","Republic Records",20,93,94,"80868"
95,"spotify:track:1aHy1ipWQRNauI0ee9uYfi","Lithe","Fall Back","GSL",93,112,33,"80343"
96,"spotify:track:2ImdwbujxKFxN1UxEvf2dD","KeBlack","LAISSE MOI","Motema records",2,91,276,"80342"
97,"spotify:track:3bK1zVFBKIzYjmptmI4NsJ","Ofenbach, Norma Jean Martine","Overdrive (feat. Norma Jean Martine)","Elektra France",10,78,227,"80287"
98,"spotify:track:1AhPGKrgOcdRfTGABLzl2i","SCH","Les hommes aux yeux noirs","Maison Baron Rouge / WMF",17,80,10,"80206"
99,"spotify:track:4Q8b4DRrRRpxRSurGIEo7g","Bolémvn, Jungeli","On y va","Play Two",92,106,30,"80168"
100,"spotify:track:5URQsgEa4ciF01AYbIhWvO","Tiakola","X","M3lo World / Atlantic Records",10,110,99,"79773"
101,"spotify:track:5ZY8ovLhI7bLuddKmkq6cf","Arma Jackson, Josman","BBL","SIDELINE",7,129,73,"79158"
102,"spotify:track:3FAclTFfvUuQYnEsptbK8w","Amy Winehouse","Back To Black","Universal-Island Records Ltd.",35,122,53,"78758"
103,"spotify:track:3RzWvMggSzFMIueWIaDwEU","Lacrim, SDM","Colisée (feat. SDM)","PLATA O PLOMO",45,105,24,"78271"
104,"spotify:track:1BxfuPKGuaTgP7aM0Bbdwr","Taylor Swift","Cruel Summer","Taylor Swift",36,94,252,"77929"
105,"spotify:track:48lxT5qJF0yYyf2z4wB4xW","Jaxomy, Agatino Romero, Raffaella Carrà","Pedro","Columbia/B1 Recordings/Ultra Records",33,101,60,"77641"
106,"spotify:track:1s3XtkdfT3obSCbQVWtvX9","PNL","La misère est si belle","QLF Records",14,133,657,"77226"
107,"spotify:track:728naE39s7fFMKVSk4TO0f","SCH","Garcimore","Maison Baron Rouge / WMF",16,95,10,"77030"
108,"spotify:track:3hefq4rDF5ixBGNlbpOORL","Zed, Zola, Kore","Süle","LDS Production",61,111,10,"76919"
109,"spotify:track:1O2mX6MrjsJlkCGEF0TVWL","PLK","Émotif (Booska 1H)","Panenka Music",35,126,905,"76840"
110,"spotify:track:5I2FIj9EDp0Fz32CJ9lZNF","Jul","Tu la love","Liga One Industry",80,127,59,"76822"
111,"spotify:track:1bwhDrXcAtqePp8mNJ0pTe","Naps","La kiffance","OK Many Industrie et 13ème art Music",1,85,1120,"76519"
112,"spotify:track:1q6nM8Y7NJDsgFknLfZfp4","Jungeli, Vegedream, Zaho, Alonzo","T’étais où ?","Universal Music Distributed Labels",70,81,87,"76387"
113,"spotify:track:71dCsJZtUVyGZssuBD0ZRr","Jul","Holà que tal ?","D'Or et de Platine",59,109,3,"75806"
114,"spotify:track:0Fyqe4e5VjCaFjNSNYWa25","GIMS, Morad, SativaMusic","Seya","Sativa Music",24,119,245,"75798"
115,"spotify:track:3FBK5C9PDmXIukYFXvZOe2","SCH","Crois-moi","Maison Baron Rouge / WMF",13,98,10,"75738"
116,"spotify:track:7wOgZ1otoKYDvKyQKP1sNZ","Werenoi","Laboratoire","PLR Music / PGP Records / Allpoints",7,113,458,"74512"
117,"spotify:track:2uqYupMHANxnwgeiXTZXzd","Dasha","Austin (Boots Stop Workin')","Warner Records",104,104,11,"73912"
