rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
37,spotify:track:6uFsE1JgZ20EXyU0JQZbUR,Taylor Swift,Look What You Made Me Do,Taylor Swift,12,32,16,68669,pop; electropop; dance; electroclash; reputation,True,Look What You Made Me Do,,
137,spotify:track:19WjVVgXjdKXfLXoaDPwTM,Taylor Swift,...Ready For It?,Taylor Swift,96,98,6,27348,pop; electropop; 2017; industrial; edm,True,...Ready for It?,2023-03-20,-2018
