rank,track_name,artist_names,streams,previous_rank,peak_rank
9,The Fate of Ophelia,Taylor Swift,4002444,10,1
47,Opalite,Taylor Swift,2108420,47,2
187,Style,Taylor Swift,1242987,171,12
