rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
3,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,3,154,4226732,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
4,spotify:track:5kHMfzgLZP95O9NBy0ku4v,Taylor Swift,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,4,4,3,4004141,pop rock; rock; indie rock; pop; country rock,True,,,
9,spotify:track:79uDOz0zuuWS7HWxzMmTa2,Taylor Swift,Back To December (Taylor's Version),Taylor Swift,2,6,3,3304885,country pop; country; pop rock; pop; ballad,True,Speak Now (Taylor's Version),,
10,spotify:track:3sW3oSbzsfecv9XoUdGs7h,Taylor Swift,Enchanted (Taylor's Version),Taylor Swift,3,7,3,3132522,rock; country; country rock; pop rock; magic,False,Speak Now (Taylor's Version),,
12,spotify:track:7G0gBu6nLdhFDPRLc0HdDG,Taylor Swift,Mine (Taylor's Version),Taylor Swift,1,8,3,3023134,pop rock; country pop; country; pop; country rock,True,Speak Now (Taylor's Version),,
21,spotify:track:3MytWN8L7shNYzGl4tAKRp,Taylor Swift,Sparks Fly (Taylor’s Version),Taylor Swift,4,13,3,2601268,country rock; country; taylors version; country pop; why is this not on the eras tour setlist,False,,,
22,spotify:track:5xXqyjLicvEpch72qEryFT,Taylor Swift,Speak Now (Taylor's Version),Taylor Swift,6,15,3,2530266,country pop; country; pop; taylors version; rock,True,Speak Now (Taylor's Version),,
23,spotify:track:0NwGC0v03ysCYINtg6ns58,Taylor Swift,Better Than Revenge (Taylor's Version),Taylor Swift,5,14,3,2507510,country; rock; pop punk; country rock; power pop,True,Speak Now (Taylor's Version),,
27,spotify:track:1zU8j1x3yi9xalMF96pzKp,Taylor Swift,Dear John (Taylor's Version),Taylor Swift,7,17,3,2411415,country; soft rock; country rock; ballad; country pop,False,Speak Now (Taylor's Version),,
33,spotify:track:6dTA6y0C2ReQklntzZl8l3,Taylor Swift,The Story Of Us (Taylor's Version),Taylor Swift,9,23,3,2182870,alternative rock; rock; pop rock; country; country pop,True,Speak Now (Taylor's Version),,
36,spotify:track:30Y4CV7A6YqtQtTTo7Ue4j,Taylor Swift,Mean (Taylor's Version),Taylor Swift,10,24,3,2133665,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,Speak Now (Taylor's Version),,
37,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,36,47,121,2130948,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
39,spotify:track:4ABYxlb92WBIjHu7TIKmml,"Taylor Swift, Hayley Williams",Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Taylor Swift,16,26,3,2110966,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,,,
40,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,29,49,591,2080702,pop; love at first listen; 2014; female vocalists; best of 2014,True,1989,,
45,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,52,262,2029790,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
48,spotify:track:0zo975x58DlXbZllWvfYhg,Taylor Swift,When Emma Falls in Love (Taylor’s Version) (From The Vault),Taylor Swift,14,30,3,2003428,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,,,
49,spotify:track:4e3ZNTAV6PCrdYMUrUlMpQ,"Taylor Swift, Fall Out Boy",Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),Taylor Swift,12,32,3,1971632,rock; country; pop; country rock; from the vault,True,,,
52,spotify:track:4s8BIKx4Zh6ryAEz8RTlaU,Taylor Swift,Foolish One (Taylor’s Version) (From The Vault),Taylor Swift,21,40,3,1927251,rock; country; country pop; soft rock; taylors version,True,,,
56,spotify:track:4hqJ4bSlYJOXb6Z4SRmzxs,Taylor Swift,Long Live (Taylor's Version),Taylor Swift,20,39,3,1885320,heartland rock; country; taylors version; pop rock; pop,False,Speak Now (Taylor's Version),,
57,spotify:track:4tMzIAFTFdqGBQLdfbPces,Taylor Swift,Haunted (Taylor's Version),Taylor Swift,17,34,3,1870756,haunted; rock; pop rock; punk; taylors version,True,Speak Now (Taylor's Version),,
60,spotify:track:59KOoHFcw5XfICnO57holu,Taylor Swift,Last Kiss (Taylor's Version),Taylor Swift,18,44,3,1838310,country; ballad; taylors version; rock; soft rock,False,Speak Now (Taylor's Version),,
64,spotify:track:1HCdems7PQZRj42QDWLA0A,Taylor Swift,Timeless (Taylor’s Version) (From The Vault),Taylor Swift,24,46,3,1764149,country; taylors version; from the vault; female vocalist; country rock,False,,,
67,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,86,217,1710746,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,
