rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
17,spotify:track:4P9Q0GojKVXpRTJCaL3kyy,Taylor Swift,All Of The Girls You Loved Before,Taylor Swift,4,17,9,3180674,lover; pop; dream pop; synthpop; rnb,True,All of the Girls You Loved Before,,
20,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,19,156,3070686,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
90,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,71,93,485,1598809,pop; love at first listen; 2014; female vocalists; best of 2014,True,1989,,
102,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,Taylor Swift,Lavender Haze,Taylor Swift,2,97,154,1521364,pop; synthpop; dream pop; overrated; electropop,True,Midnights,,
130,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,108,131,15,1326742,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
138,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,132,223,1298899,pop; electropop; gospel; edm; exile,True,Golden Collection,,
139,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,139,111,1286720,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,
169,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,5,166,48,1181814,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
175,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,Enchanted,Taylor Swift,46,177,79,1170439,country; pop; taylor swift; love; country pop,True,Speak Now,,
185,spotify:track:3rWDp9tBPQR9z6U5YyRSK4,Taylor Swift,Midnight Rain,Taylor Swift,4,180,120,1144741,pop; synthpop; electropop; overrated; aoty,True,Midnights [Clean],,
196,spotify:track:0cqRj7pUJDkTCEsJkx8snD,Taylor Swift,Shake It Off,Taylor Swift,124,-1,14,1122792,pop; 2014; haters gonna hate; taylor swift; love at first listen,True,1989,,
