rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:2uBKQbVcw8G9m34lGYM6VA","GIMS","NINAO","Play Two",1,2,72,"490789"
2,"spotify:track:78Y0EwVQ9kdQFTIOzr7lUd","Jul","Phénoménal","D'Or et de Platine",1,1,23,"437227"
3,"spotify:track:3SBBYSbzkLvx96bKzneYsF","KeBlack, Guy2Bezbar","Melrose Place","Motema records",2,3,30,"413465"
4,"spotify:track:1RiCNSkK4AfT1j8ZM4JnVs","GIMS","CIEL","Play Two",1,4,188,"395517"
5,"spotify:track:58rVY9wmIYBOzdLXygVs6i","KeBlack","Mood","Motema records",2,5,66,"362535"
6,"spotify:track:4liOLSxxEllQ61qaR4pFJL","L2B","Pélican","Universal Music Distribution Deal",2,7,79,"333780"
7,"spotify:track:0WouBx1UMK02ZO4br1fgWh","DJ Kawest, Attachingboy","Chambre 04","Juston Records",2,8,81,"306505"
8,"spotify:track:3iqcqAwtnurPNJAcvwVIyt","Jul","Mimi","D'Or et de Platine",8,9,9,"284719"
9,"spotify:track:1pqKCnjkTBcAX6NyzSDahf","Charlotte Cardin","Feel Good","Parlophone (France)",6,11,112,"278905"
10,"spotify:track:6xOiC7SgWCFsipcM69jIDO","Werenoi, GIMS","Piano","Play Two",6,6,2,"266431"
11,"spotify:track:1sccu8ze6ETRiNbNH9pj5N","GIMS","SOIS PAS TIMIDE","Play Two",1,14,289,"250434"
12,"spotify:track:4oVMLxxYpQLYx8gx4JjuuY","GIMS, DYSTINCT","SPIDER","Play Two",1,13,359,"250185"
13,"spotify:track:35ISBknsCeZQtq66xABI9g","Lola Young","Messy","Universal-Island Records Ltd.",7,15,140,"238871"
14,"spotify:track:6hKkzk8UlVUj9ioPCyeH1O","Jul","Sous la lune","D'Or et de Platine",2,12,239,"238749"
15,"spotify:track:6eyghhEYVokzeUZnYmCxjI","Josas","Pichichi","Universal Music Distribution Deal",13,16,36,"221423"
16,"spotify:track:2t5LPLptBemV0W8IGLBLju","Hamza","KYKY2BONDY","Just Woke Up",10,10,2,"215485"
17,"spotify:track:3LPLRNr58Z9Pn0clnEtkXb","Doechii","Anxiety","Top Dawg Entertainment/Capitol Records",7,22,59,"212443"
18,"spotify:track:5ITV0zqzjOYfFWpW0xBmRa","WizTheMc, bees & honey","Show Me Love","Bamboo Artists",15,21,66,"211791"
19,"spotify:track:4De1ry2yC79qVUR2So9to8","Jul","Bwo","D'Or et de Platine",16,19,115,"211589"
20,"spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ","Alex Warren","Ordinary","Atlantic Records",13,20,51,"207024"
21,"spotify:track:66ku4Gq4k5xUqdVL4Oam2r","Werenoi","Poney","PLR Music / PGP Records",4,18,23,"205425"
22,"spotify:track:6e1T28Wkr7r8xciTXcwhKJ","Werenoi, Damso, Ninho","Triple V","PLR Music / PGP Records",1,17,23,"203332"
23,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records",2,29,198,"201763"
24,"spotify:track:1Mzg6bu3hkCwJKEf7v49MN","SDM","CARTIER SANTOS","Universal Music Division Capitol Music France",1,23,219,"191785"
25,"spotify:track:0qlYaRFGvgR6afy1f4BBwD","Gazo","NANANI NANANA","BSB PROD",1,25,156,"188923"
26,"spotify:track:6WfnzeciIa1Ta661GY9hue","Ninho","Vrais","Rec. 118 / Mal Luné Music",14,36,165,"188405"
27,"spotify:track:2D2JZ8FHmkyGxcGrDpWGe4","L2B","Tout Pour L'équipe","Universal Music Distribution Deal",26,26,21,"179541"
28,"spotify:track:3rcYxqjhN14IdYmRwfWhbi","La Mano 1.9","Sexy Woman","R.A.T MUSIC",9,31,93,"179443"
29,"spotify:track:0SKNkEMV313mE6oYsgVCgm","Jul","J'oublie tout","Liga One Industry",21,28,669,"178655"
30,"spotify:track:7dzuYJwwtNnfcptmbD58aJ","Joé Dwèt Filé","4 Kampé","Play Two",5,30,191,"178339"
31,"spotify:track:2UntklImLREdP8pMAzr4c4","Rim'K, SDM","Run","MB",5,27,114,"174662"
32,"spotify:track:1y7dY7Xu4nWM4SK2dEnoAT","Damso, Kalash","Alpha","Trente-quatre centimes",1,34,170,"169667"
33,"spotify:track:0Jh6iWjna1wk5le0Ahn7No","Ninho","La vie qu'on mène","Rec. 118 / Mal Luné Music",2,49,2235,"169244"
34,"spotify:track:60oUKjWNuBEl0X0IaLuVHL","La Fouine, Ninho","Etat des lieux - Part 1","Play Two",14,33,23,"168623"
35,"spotify:track:35M3SV65wTPKwFbgVKFfyE","GIMS, KeBlack","TOUCHÉ","Play Two",9,32,23,"168424"
36,"spotify:track:5oePa8PlOTPAlRaGs2OZ3A","Ninho","Putana","Rec. 118 / Mal Luné Music",3,42,1526,"165871"
37,"spotify:track:4mNttG8qiVh4BKrMUrUhCI","Dr. Yaro","Minimum ça","ELEVA PROD / WARNER MUSIC FRANCE",4,35,241,"162097"
38,"spotify:track:0doFYnqgcStWu1Emh8DTVo","Helena","Mauvais Garçon","RCA Group",17,46,165,"156471"
39,"spotify:track:3sK8wGT43QFpWrvNQsrQya","Bad Bunny","DtMF","Rimas Entertainment LLC.",1,37,115,"156136"
40,"spotify:track:6waAB6UXCmo4nQOpqZ1n4b","Soolking, GIMS","CARRÉ OK","Universal Music MENA Distributed Labels",16,48,142,"154414"
41,"spotify:track:15vGti1ooNZFlDUdlLukX6","Booba, SDM","Dolce Camara","Universal Music Distribution Deal",2,43,450,"149543"
42,"spotify:track:4lkyaoULeHxX2ga6BGlqmw","KeBlack","Aucune attache","Motema records",4,38,405,"149471"
43,"spotify:track:6ctcVdXaJKn5LVFDjMBqzc","Nono La Grinta","Paris","MPR Records",28,40,31,"149363"
44,"spotify:track:5I2FIj9EDp0Fz32CJ9lZNF","Jul","Tu la love","Liga One Industry",32,39,366,"148005"
45,"spotify:track:6WatFBLVB0x077xWeoVc2k","KAROL G","Si Antes Te Hubiera Conocido","Bichota/Interscope Records",15,50,310,"147528"
46,"spotify:track:7C13bFjFdELL8ioTMtVbZ5","1D1R, Vacra","Balade","Play Two",41,41,15,"145122"
47,"spotify:track:6hl9Tc95QrqDk4Q3uWLHls","Shaydee's, Anyme023","Shamballa","AnymCorp",14,51,44,"144076"
48,"spotify:track:3Byu179ofnuChb4zF1fMhu","Werenoi","Pétunias","AllPoints",6,47,212,"142073"
49,"spotify:track:4TwEdnSiTPDR1vg1QZ5K8W","David Guetta, Sia","Beautiful People","Atlantic Records UK",49,55,45,"141236"
50,"spotify:track:6uqUEyqPScFznadOkI7Nvm","Jul","Un jour, je l'aurai","D'Or et de Platine",11,44,170,"140315"
51,"spotify:track:5tjcfD27bNYQiYObzIo9Ig","Jeck, Carla","M'envoler","Play Two",40,52,92,"138814"
52,"spotify:track:6WvkCJkN2AYD0s53GVBFIY","TKS 2G","Célibataire Polygame","SHEDWAVE RECORDS",13,53,40,"137745"
53,"spotify:track:3zdnOcv3gin3astTU5UaOy","Vald, Vladimir Cauchemar, Todiefor","REGULATION RELOADED","Hall Access / Echelon Records",24,24,2,"136720"
54,"spotify:track:3BntzKsnLf2pc0dsvE3Zav","Teddy Swims","Bad Dreams","Warner Records",19,54,175,"134751"
55,"spotify:track:2LHNTC9QZxsL3nWpt8iaSR","Lady Gaga","Abracadabra","Interscope Records",12,59,90,"134641"
56,"spotify:track:6BPcUXYERAahpunmb0AovH","Arcane, Stromae, Pomme","Ma Meilleure Ennemie (from the series Arcane League of Legends)","Riot Games",1,58,162,"133377"
57,"spotify:track:3MVTefqbeNX5yHFOmnHy3X","Ninho","Un Poco","Rec. 118 / Mal Luné Music",6,81,441,"131941"
58,"spotify:track:6eWAWHm0cuOaPGDWhoLJ7s","Myles Smith","Nice To Meet You","RCA Records Label",51,66,113,"131037"
59,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",5,68,261,"128016"
60,"spotify:track:1Lulg5ZiMEXy3QNwb1PB8I","Ninho","Zipette","Rec. 118 / Mal Luné Music",3,67,764,"126933"
