rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
2,spotify:track:53iuhJlwXhSER5J2IYYv1W,Taylor Swift,The Fate of Ophelia,Taylor Swift,1,2,116,5188886,pop; best of 2025; baroque pop; synthpop; love at first listen,True,The Life of a Showgirl,,
38,spotify:track:3yWuTOYDztXjZxdE2cIRUa,Taylor Swift,Opalite,Taylor Swift,2,39,116,2041866,pop; synthpop; soft rock; rnb; christmas,True,The Life of a Showgirl,,
156,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,12,-1,298,1252247,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
