pop_rank,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release,previous_pop_rank
15,33,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,"Taylor Swift, Post Malone",Fortnight (feat. Post Malone),Taylor Swift,11,38,3,144176,pop; best of 2024; soty; synthpop; singer-songwriter,True,The Tortured Poets Department (Webstore Exclusive),,,18.0
26,64,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,36,61,203,90639,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,2023-10-18,186,26.0
28,72,spotify:track:3Vevii7qKqrmW8CcyzBHDl,Taylor Swift,"So Long, London",Taylor Swift,35,73,3,86521,pop; best of 2024; singer-songwriter; synthpop; wsum 91.7 fm madison,True,THE TORTURED POETS DEPARTMENT,,,29.0
30,75,spotify:track:2XXwLdtuAcE0HSCu61ijAb,Taylor Swift,My Boy Only Breaks His Favorite Toys,Taylor Swift,33,69,3,85366,pop; best of 2024; synthpop; female vocalists; taylor swift,True,THE TORTURED POETS DEPARTMENT,,,28.0
35,85,spotify:track:2F3N9tdombb64aW6VtZOdo,Taylor Swift,Down Bad,Taylor Swift,38,89,3,80589,pop; synthpop; best of 2024; love at first listen; pop perfect,True,THE TORTURED POETS DEPARTMENT,,,33.0
36,88,spotify:track:3NMrVbIVWT3fPXBj0rNDKG,Taylor Swift,The Tortured Poets Department,Taylor Swift,28,86,3,79441,pop; synthpop; best of 2024; singer-songwriter; 2024,True,THE TORTURED POETS DEPARTMENT,,,31.0
37,91,spotify:track:4q5YezDOIPcoLr8R81x9qy,Taylor Swift,I Can Do It With a Broken Heart,Taylor Swift,56,103,3,76398,pop; best of 2024; synthpop; dance-pop; soty,True,THE TORTURED POETS DEPARTMENT,2024-04-19,2,39.0
46,120,spotify:track:5og4Qzt92jJzVDkOtSEilb,Taylor Swift,But Daddy I Love Him,Taylor Swift,49,116,3,68103,pop; best of 2024; pop rock; colleen hoover; country,True,THE TORTURED POETS DEPARTMENT,,,43.0
51,129,spotify:track:36t6frENUtCYKuZus6aYDO,Taylor Swift,Who’s Afraid of Little Old Me?,Taylor Swift,57,130,3,65845,love at first listen; pop; best of 2024; pop rock; taylor swift,True,THE TORTURED POETS DEPARTMENT [Clean] [Clean],,,51.0
52,132,spotify:track:3ZVFcD8Wlw9T9klGqmJf9F,"Taylor Swift, Florence + The Machine",Florida!!! (feat. Florence + The Machine),Taylor Swift,52,127,3,65643,pop; rock; alternative; country; pop rock; singer-songwriter; love at first listen; best of 2024; 2024; alternative pop,True,,,,49.0
62,179,spotify:track:0W0iAC1VGlB82PI6elxFYf,Taylor Swift,Guilty as Sin?,Taylor Swift,62,170,3,55906,pop; best of 2024; singer-songwriter; pop rock; soty,True,THE TORTURED POETS DEPARTMENT,,,60.0
67,200,spotify:track:6RSG1dKPV5gEvILwJb4QtS,Taylor Swift,loml,Taylor Swift,74,197,3,52506,pop; singer-songwriter; sad; piano; ballad,True,THE TORTURED POETS DEPARTMENT,,,63.0
