rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
3,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,3,157,5001332,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
7,spotify:track:5kHMfzgLZP95O9NBy0ku4v,Taylor Swift,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,4,5,6,3428745,pop rock; rock; indie rock; pop; country rock,True,,,
25,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,25,29,594,2378224,pop; love at first listen; 2014; female vocalists; best of 2014,True,1989,,
26,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,31,265,2347973,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
27,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,27,30,124,2331765,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
28,spotify:track:3sW3oSbzsfecv9XoUdGs7h,Taylor Swift,Enchanted (Taylor's Version),Taylor Swift,3,20,6,2331389,rock; country; country rock; pop rock; magic,False,Speak Now (Taylor's Version),,
31,spotify:track:79uDOz0zuuWS7HWxzMmTa2,Taylor Swift,Back To December (Taylor's Version),Taylor Swift,2,19,6,2273807,country pop; country; pop rock; pop; ballad,True,Speak Now (Taylor's Version),,
44,spotify:track:7G0gBu6nLdhFDPRLc0HdDG,Taylor Swift,Mine (Taylor's Version),Taylor Swift,1,24,6,2085339,pop rock; country pop; country; pop; country rock,True,Speak Now (Taylor's Version),,
52,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,57,220,1894068,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,
58,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,8,62,139,1830951,pop; screamo; brutal death metal; metal; overrated,True,Midnights,,
67,spotify:track:0NwGC0v03ysCYINtg6ns58,Taylor Swift,Better Than Revenge (Taylor's Version),Taylor Swift,5,49,6,1711276,country; rock; pop punk; country rock; power pop,True,Speak Now (Taylor's Version),,
70,spotify:track:3MytWN8L7shNYzGl4tAKRp,Taylor Swift,Sparks Fly (Taylor’s Version),Taylor Swift,4,48,6,1708478,country rock; country; taylors version; country pop; why is this not on the eras tour setlist,False,,,
76,spotify:track:5xXqyjLicvEpch72qEryFT,Taylor Swift,Speak Now (Taylor's Version),Taylor Swift,6,51,6,1636546,country pop; country; pop; taylors version; rock,True,Speak Now (Taylor's Version),,
84,spotify:track:1zU8j1x3yi9xalMF96pzKp,Taylor Swift,Dear John (Taylor's Version),Taylor Swift,7,58,6,1569400,country; soft rock; country rock; ballad; country pop,False,Speak Now (Taylor's Version),,
86,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,97,332,1552382,pop; electropop; gospel; edm; exile,True,Golden Collection,,
96,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,107,168,1493776,pop; country; love; indie folk; country pop,True,You Belong With Me,,
97,spotify:track:4ABYxlb92WBIjHu7TIKmml,"Taylor Swift, Hayley Williams",Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Taylor Swift,16,64,6,1486542,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,,,
105,spotify:track:4s8BIKx4Zh6ryAEz8RTlaU,Taylor Swift,Foolish One (Taylor’s Version) (From The Vault),Taylor Swift,21,77,6,1451218,rock; country; country pop; soft rock; taylors version,True,,,
107,spotify:track:6dTA6y0C2ReQklntzZl8l3,Taylor Swift,The Story Of Us (Taylor's Version),Taylor Swift,9,74,6,1426620,alternative rock; rock; pop rock; country; country pop,True,Speak Now (Taylor's Version),,
115,spotify:track:4e3ZNTAV6PCrdYMUrUlMpQ,"Taylor Swift, Fall Out Boy",Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),Taylor Swift,12,81,6,1398038,rock; country; pop; country rock; from the vault,True,,,
117,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,9,141,154,1380453,dream pop; folk; folk pop; indie pop; indie,True,folklore: the long pond studio sessions (from the Disney+ special),,
118,spotify:track:30Y4CV7A6YqtQtTTo7Ue4j,Taylor Swift,Mean (Taylor's Version),Taylor Swift,10,80,6,1378107,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,Speak Now (Taylor's Version),,
119,spotify:track:0zo975x58DlXbZllWvfYhg,Taylor Swift,When Emma Falls in Love (Taylor’s Version) (From The Vault),Taylor Swift,14,83,6,1377474,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,,,
147,spotify:track:1HCdems7PQZRj42QDWLA0A,Taylor Swift,Timeless (Taylor’s Version) (From The Vault),Taylor Swift,24,98,6,1293409,country; taylors version; from the vault; female vocalist; country rock,False,,,
148,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,Enchanted,Taylor Swift,41,147,188,1286569,country; pop; taylor swift; love; country pop,True,Speak Now,,
150,spotify:track:4hqJ4bSlYJOXb6Z4SRmzxs,Taylor Swift,Long Live (Taylor's Version),Taylor Swift,20,102,6,1283630,heartland rock; country; taylors version; pop rock; pop,False,Speak Now (Taylor's Version),,
157,spotify:track:1qrpoAMXodY6895hGKoUpA,Taylor Swift,You Belong With Me (Taylor’s Version),Taylor Swift,16,172,11,1251962,country pop; pop rock; power pop; country; overrated,True,Kids Hits 2022,,
166,spotify:track:0cqRj7pUJDkTCEsJkx8snD,Taylor Swift,Shake It Off,Taylor Swift,124,169,70,1221677,pop; 2014; haters gonna hate; taylor swift; love at first listen,True,1989,,
167,spotify:track:6YvqWjhGD8mB5QXcbcUKtx,Taylor Swift,Love Story (Taylor’s Version),Taylor Swift,2,164,41,1218657,overrated; country; country pop; rock; singer songwriter,True,Best Of 2021: Summer Lounge,,
193,spotify:track:4tMzIAFTFdqGBQLdfbPces,Taylor Swift,Haunted (Taylor's Version),Taylor Swift,17,119,6,1156449,haunted; rock; pop rock; punk; taylors version,True,Speak Now (Taylor's Version),,
