rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
38,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,23,48,3,99209,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
77,spotify:track:1wtOxkiel43cVs0Yux5Q4h,"Taylor Swift, Lana Del Rey",Snow On The Beach (feat. Lana Del Rey),Taylor Swift,42,90,3,70479,dream pop; pop; chill; ballad; synthpop,True,Snow on the beach (feat. Lana Del Rey),,
88,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,Taylor Swift,Lavender Haze,Taylor Swift,40,98,3,65460,pop; synthpop; dream pop; overrated; electropop,True,Midnights,,
112,spotify:track:3eX0NZfLtGzoLUxPNvRfqm,Taylor Swift,Maroon,Taylor Swift,56,122,3,56799,synthpop; pop; singer-songwriter; shoegaze; alt-pop,True,Midnights,,
113,spotify:track:4D7BCuvgdJlYvlX5WlN54t,Taylor Swift,"You're On Your Own, Kid",Taylor Swift,63,128,3,56650,pop; synthpop; dream pop; sad; overrated,True,Midnights [Clean],,
114,spotify:track:3rWDp9tBPQR9z6U5YyRSK4,Taylor Swift,Midnight Rain,Taylor Swift,70,129,3,56325,pop; synthpop; electropop; overrated; aoty,True,Midnights [Clean],2022-10-21,2
133,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,93,155,3,51585,pop; screamo; brutal death metal; metal; overrated,True,Midnights,,
145,spotify:track:1xwAWUI6Dj0WGC3KiUPN0O,Taylor Swift,Vigilante Shit,Taylor Swift,78,151,3,49818,pop; dark pop; synthpop; overrated; colleen hoover,True,Midnights,,
153,spotify:track:0heeNYlwOGuUSe7TgUD27B,Taylor Swift,Question...?,Taylor Swift,85,162,3,48201,pop; singer-songwriter; electronic; synthpop; awful,True,Midnights,,
170,spotify:track:3qoftcUZaUOncvIYjFSPdE,Taylor Swift,Bejeweled,Taylor Swift,103,181,3,44952,pop; bubblegum pop; 2022; synthpop; female vocalists,True,Midnights [Clean],,
