pop_rank,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release,previous_pop_rank
9,40,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,Taylor Swift,Lavender Haze,Taylor Swift,40,-1,1,122196,pop; synthpop; dream pop; overrated; electropop,True,Midnights,,,
10,42,spotify:track:1wtOxkiel43cVs0Yux5Q4h,"Taylor Swift, Lana Del Rey",Snow On The Beach (feat. Lana Del Rey),Taylor Swift,42,-1,1,121258,dream pop; pop; chill; ballad; synthpop,True,Snow on the beach (feat. Lana Del Rey),,,
13,56,spotify:track:3eX0NZfLtGzoLUxPNvRfqm,Taylor Swift,Maroon,Taylor Swift,56,-1,1,107751,synthpop; pop; singer-songwriter; shoegaze; alt-pop,True,Midnights,,,
14,63,spotify:track:4D7BCuvgdJlYvlX5WlN54t,Taylor Swift,"You're On Your Own, Kid",Taylor Swift,63,-1,1,98907,pop; synthpop; dream pop; sad; overrated,True,Midnights [Clean],,,
16,70,spotify:track:1DAHLigfUqSLrU3RLG1EKR,Taylor Swift,Midnight Rain,Taylor Swift,70,-1,1,93133,pop; synthpop; electropop; overrated; aoty,True,Midnights [Clean],,,
19,78,spotify:track:1xwAWUI6Dj0WGC3KiUPN0O,Taylor Swift,Vigilante Shit,Taylor Swift,78,-1,1,89621,pop; dark pop; synthpop; overrated; colleen hoover,True,Midnights,,,
22,85,spotify:track:0heeNYlwOGuUSe7TgUD27B,Taylor Swift,Question...?,Taylor Swift,85,-1,1,86850,pop; singer-songwriter; electronic; synthpop; awful,True,Midnights,,,
24,93,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,93,-1,1,82321,pop; screamo; brutal death metal; metal; overrated,True,Midnights,,,
26,103,spotify:track:3qoftcUZaUOncvIYjFSPdE,Taylor Swift,Bejeweled,Taylor Swift,103,-1,1,78303,pop; bubblegum pop; 2022; synthpop; female vocalists,True,Midnights [Clean],,,
32,118,spotify:track:0A1JLUlkZkp2EFrosoNQi0,Taylor Swift,Labyrinth,Taylor Swift,118,-1,1,72556,pop; dream pop; synthpop; beautiful; female vocalists,True,Midnights [Clean],,,
36,135,spotify:track:7zcJSflhqcSGICHUjgncnj,Taylor Swift,Mastermind,Taylor Swift,135,-1,1,67127,pop; synthpop; female vocalists; electropop; electronic,True,Midnights [Clean],,,
37,136,spotify:track:0wavGRldH0AWyu2zvTz8zb,Taylor Swift,Sweet Nothing,Taylor Swift,136,-1,1,66953,pop; singer-songwriter; female vocalists; beautiful; ballad,True,Midnights [Clean],,,
