rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
17,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,16,168,2999302,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
50,spotify:track:4P9Q0GojKVXpRTJCaL3kyy,Taylor Swift,All Of The Girls You Loved Before,Taylor Swift,4,48,21,1916304,lover; pop; dream pop; synthpop; rnb,True,All of the Girls You Loved Before,,
92,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,Taylor Swift,Lavender Haze,Taylor Swift,2,92,166,1495576,pop; synthpop; dream pop; overrated; electropop,True,Midnights,,
102,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,71,83,497,1456162,pop; love at first listen; 2014; female vocalists; best of 2014,True,1989,,
116,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,5,119,60,1329637,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
117,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,113,123,1322443,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,
119,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,117,235,1318266,pop; electropop; gospel; edm; exile,True,Golden Collection,,
125,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,108,118,27,1276104,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
148,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,Enchanted,Taylor Swift,46,145,91,1186732,country; pop; taylor swift; love; country pop,True,Speak Now,,
184,spotify:track:3rWDp9tBPQR9z6U5YyRSK4,Taylor Swift,Midnight Rain,Taylor Swift,4,191,128,1088796,pop; synthpop; electropop; overrated; aoty,True,Midnights [Clean],,
