rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,album,release_date,days_since_release
4,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,"Taylor Swift, Post Malone",Fortnight (feat. Post Malone),Taylor Swift,1,4,15,7856059,pop; best of 2024; soty; synthpop; singer-songwriter,The Tortured Poets Department (Webstore Exclusive),,
12,spotify:track:4q5YezDOIPcoLr8R81x9qy,Taylor Swift,I Can Do It With a Broken Heart,Taylor Swift,3,11,15,4998508,pop; best of 2024; synthpop; dance-pop; soty,THE TORTURED POETS DEPARTMENT,,
15,spotify:track:2F3N9tdombb64aW6VtZOdo,Taylor Swift,Down Bad,Taylor Swift,2,13,15,4107987,pop; synthpop; best of 2024; love at first listen; pop perfect,THE TORTURED POETS DEPARTMENT,,
21,spotify:track:3Vevii7qKqrmW8CcyzBHDl,Taylor Swift,"So Long, London",Taylor Swift,4,21,15,3366796,pop; best of 2024; singer-songwriter; synthpop; wsum 91.7 fm madison,THE TORTURED POETS DEPARTMENT,,
25,spotify:track:0W0iAC1VGlB82PI6elxFYf,Taylor Swift,Guilty as Sin?,Taylor Swift,11,23,15,3157979,pop; best of 2024; singer-songwriter; pop rock; soty,THE TORTURED POETS DEPARTMENT,,
29,spotify:track:36t6frENUtCYKuZus6aYDO,Taylor Swift,Who’s Afraid of Little Old Me?,Taylor Swift,9,25,15,3131670,love at first listen; pop; best of 2024; pop rock; taylor swift,THE TORTURED POETS DEPARTMENT [Clean] [Clean],,
30,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,29,453,3089775,electropop; pop; synthpop; industrial pop; synthwave,Lover,,
31,spotify:track:2XXwLdtuAcE0HSCu61ijAb,Taylor Swift,My Boy Only Breaks His Favorite Toys,Taylor Swift,5,26,15,3051478,pop; best of 2024; synthpop; female vocalists; taylor swift,THE TORTURED POETS DEPARTMENT,,
36,spotify:track:5og4Qzt92jJzVDkOtSEilb,Taylor Swift,But Daddy I Love Him,Taylor Swift,6,31,15,2863728,pop; best of 2024; pop rock; colleen hoover; country,THE TORTURED POETS DEPARTMENT,,
37,spotify:track:3NMrVbIVWT3fPXBj0rNDKG,Taylor Swift,The Tortured Poets Department,Taylor Swift,2,33,15,2827651,pop; synthpop; best of 2024; singer-songwriter; 2024,THE TORTURED POETS DEPARTMENT,,
38,spotify:track:3ZVFcD8Wlw9T9klGqmJf9F,"Taylor Swift, Florence + The Machine",Florida!!! (feat. Florence + The Machine),Taylor Swift,7,35,15,2815500,pop; rock; alternative; country; pop rock; singer-songwriter; love at first listen; best of 2024; 2024; alternative pop,,,
54,spotify:track:2v1ivOOsgn64g5OywuH55L,Taylor Swift,The Smallest Man Who Ever Lived,Taylor Swift,14,49,15,2241864,pop; singer-songwriter; best of 2024; colleen hoover; chatgpt,THE TORTURED POETS DEPARTMENT,,
58,spotify:track:6RSG1dKPV5gEvILwJb4QtS,Taylor Swift,loml,Taylor Swift,12,51,15,2179512,pop; singer-songwriter; sad; piano; ballad,THE TORTURED POETS DEPARTMENT,,
70,spotify:track:1dhMTsEZz6ZEquGvmzVoHn,Taylor Swift,The Alchemy,Taylor Swift,15,59,15,1993900,chatgpt; pop; best of 2024; singer-songwriter; colleen hoover,THE TORTURED POETS DEPARTMENT,,
72,spotify:track:3fO566xJgwxIa3qGCGBvIC,Taylor Swift,Fresh Out The Slammer,Taylor Swift,10,57,15,1987432,pop; singer-songwriter; colleen hoover; love at first listen; best of 2024,THE TORTURED POETS DEPARTMENT,,
79,spotify:track:7Mts0OfPorF4iwOomvfqn1,Taylor Swift,So High School,Taylor Swift,25,69,15,1880033,pop; rock; pop rock; singer-songwriter; indie rock,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,
92,spotify:track:1kcwpPDQnqEqmezzXdJTCP,Taylor Swift,imgonnagetyouback,Taylor Swift,21,78,15,1790909,pop; singer-songwriter; female vocalists; synthpop; love at first listen,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,
95,spotify:track:2h3MDMf8sd9s4XIzpTBIjX,Taylor Swift,I Can Fix Him (No Really I Can),Taylor Swift,13,82,15,1755166,singer-songwriter; pop; sexy; love at first listen; soty,THE TORTURED POETS DEPARTMENT,,
105,spotify:track:18WFFUIsewmA8g31KAeo3e,Taylor Swift,The Prophecy,Taylor Swift,32,94,15,1668746,singer-songwriter; folk; pop; ai; not poetic,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,
119,spotify:track:62E2nR0od0M5HYxuYLaDz7,Taylor Swift,The Black Dog,Taylor Swift,20,98,15,1633459,pop; soty; best of 2024; singer-songwriter; love at first listen,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,
138,spotify:track:1UlhrRvYzbHEyugEDspXUB,Taylor Swift,Clara Bow,Taylor Swift,16,106,15,1572866,pop; singer-songwriter; chatgpt; colleen hoover; taylor swift,THE TORTURED POETS DEPARTMENT,,
159,spotify:track:5Bedn0svl0ZD7RGmJkmKKw,Taylor Swift,How Did It End?,Taylor Swift,29,130,15,1455193,folk; ballad; singer-songwriter; piano; pop,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,
197,spotify:track:4EF6IyONolQy0bIQXm2EmX,Taylor Swift,The Albatross,Taylor Swift,26,161,15,1332383,singer-songwriter; folk; pop; best of 2024; ai,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,
