rank,track_name,artist_names,streams,previous_rank,peak_rank
10,The Fate of Ophelia,Taylor Swift,3603947,9,1
44,Opalite,Taylor Swift,1961538,47,2
188,Style,Taylor Swift,1157434,193,12
