rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
1,spotify:track:7G0gBu6nLdhFDPRLc0HdDG,Taylor Swift,Mine (Taylor's Version),Taylor Swift,1,-1,1,8540792,pop rock; country pop; country; pop; country rock,True,Speak Now (Taylor's Version),,
2,spotify:track:79uDOz0zuuWS7HWxzMmTa2,Taylor Swift,Back To December (Taylor's Version),Taylor Swift,2,-1,1,8118761,country pop; country; pop rock; pop; ballad,True,Speak Now (Taylor's Version),,
3,spotify:track:3sW3oSbzsfecv9XoUdGs7h,Taylor Swift,Enchanted (Taylor's Version),Taylor Swift,3,-1,1,7577938,rock; country; country rock; pop rock; magic,False,Speak Now (Taylor's Version),,
4,spotify:track:3MytWN8L7shNYzGl4tAKRp,Taylor Swift,Sparks Fly (Taylor’s Version),Taylor Swift,4,-1,1,7370882,country rock; country; taylors version; country pop; why is this not on the eras tour setlist,False,,,
5,spotify:track:0NwGC0v03ysCYINtg6ns58,Taylor Swift,Better Than Revenge (Taylor's Version),Taylor Swift,5,-1,1,7195811,country; rock; pop punk; country rock; power pop,True,Speak Now (Taylor's Version),,
6,spotify:track:5xXqyjLicvEpch72qEryFT,Taylor Swift,Speak Now (Taylor's Version),Taylor Swift,6,-1,1,7076404,country pop; country; pop; taylors version; rock,True,Speak Now (Taylor's Version),,
7,spotify:track:1zU8j1x3yi9xalMF96pzKp,Taylor Swift,Dear John (Taylor's Version),Taylor Swift,7,-1,1,6934440,country; soft rock; country rock; ballad; country pop,False,Speak Now (Taylor's Version),,
8,spotify:track:5kHMfzgLZP95O9NBy0ku4v,Taylor Swift,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,8,-1,1,6474007,pop rock; rock; indie rock; pop; country rock,True,,,
9,spotify:track:6dTA6y0C2ReQklntzZl8l3,Taylor Swift,The Story Of Us (Taylor's Version),Taylor Swift,9,-1,1,6000102,alternative rock; rock; pop rock; country; country pop,True,Speak Now (Taylor's Version),,
10,spotify:track:30Y4CV7A6YqtQtTTo7Ue4j,Taylor Swift,Mean (Taylor's Version),Taylor Swift,10,-1,1,5990735,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,Speak Now (Taylor's Version),,
12,spotify:track:4e3ZNTAV6PCrdYMUrUlMpQ,"Taylor Swift, Fall Out Boy",Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),Taylor Swift,12,-1,1,5543165,rock; country; pop; country rock; from the vault,True,,,
