rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
15,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,5,15,131,2832567,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
27,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,28,239,2448817,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
49,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,48,49,568,2059252,pop; love at first listen; 2014; female vocalists; best of 2014,True,1989,,
61,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,58,61,98,1838849,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
80,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,71,194,1666882,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,
89,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,Enchanted,Taylor Swift,46,85,162,1577740,country; pop; taylor swift; love; country pop,True,Speak Now,,
96,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,8,111,113,1548659,pop; screamo; brutal death metal; metal; overrated,True,Midnights,,
112,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,110,306,1435925,pop; electropop; gospel; edm; exile,True,Golden Collection,,
156,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,151,142,1265585,pop; country; love; indie folk; country pop,True,You Belong With Me,,
168,spotify:track:0cqRj7pUJDkTCEsJkx8snD,Taylor Swift,Shake It Off,Taylor Swift,124,173,44,1235518,pop; 2014; haters gonna hate; taylor swift; love at first listen,True,1989,,
178,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,9,163,129,1195633,dream pop; folk; folk pop; indie pop; indie,True,folklore: the long pond studio sessions (from the Disney+ special),,
