rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
10,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,6,300,4599451,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
14,spotify:track:3CWq0pAKKTWb0K4yiglDc4,Taylor Swift,You’re Losing Me (From The Vault),Taylor Swift,1,4,4,4010168,pop; sad; best of 2023; downtempo; break-up,True,You're Losing Me (From the Vault),2023-05-26,190
44,spotify:track:1Iq8oo9XkmmvCQiGOfORiz,Taylor Swift,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1,40,37,2438683,pop; synthpop; synthwave; electropop; masterpiece,True,1989 (Taylor’s Version) (Deluxe),,
56,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,47,408,2172874,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
82,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,70,311,1863378,pop; country; love; indie folk; country pop,True,You Belong With Me,,
112,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,92,363,1584455,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,
119,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,14,119,737,1542650,pop; love at first listen; 2014; female vocalists; best of 2014,True,1989,,
124,spotify:track:5KD6AEm19QnMbfWpfoOHMl,Taylor Swift,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,2,98,37,1516074,from the vault; synthpop; dance-pop; female vocalist; alt-pop,True,1989 (Taylor’s Version) (Deluxe),,
126,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,4,104,297,1507972,dream pop; folk; folk pop; indie pop; indie,True,folklore: the long pond studio sessions (from the Disney+ special),,
139,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,113,475,1466540,pop; electropop; gospel; edm; exile,True,Golden Collection,,
148,spotify:track:71BqAINEnezjQfxE4VuJfq,Taylor Swift,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,2,144,37,1406478,synthpop; pop; dream pop; female vocalists; singer song writer,True,1989 (Taylor’s Version) (Deluxe),,
194,spotify:track:2mvabkN1i2gLnGAPUVdwek,Taylor Swift,Christmas Tree Farm,Taylor Swift,73,-1,24,1301784,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,Happy Holidaze,,
197,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,12,177,267,1291260,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
