rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,album,release_date,days_since_release
9,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,27,251,4596317,electropop; pop; synthpop; industrial pop; synthwave,Lover,,
45,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,14,53,688,2383189,pop; love at first listen; 2014; female vocalists; best of 2014,1989,,
50,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,12,55,218,2303270,pop; synthpop; love at first listen; taylor swift; 1989,1989,,
56,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,65,359,2011686,rock; grunge; 90s; test-tag; batch-test,Midnights [Clean],,
62,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,72,262,1937125,pop; country; love; indie folk; country pop,You Belong With Me,,
67,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,4,81,248,1783891,dream pop; folk; folk pop; indie pop; indie,folklore: the long pond studio sessions (from the Disney+ special),,
85,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,100,426,1644725,pop; electropop; gospel; edm; exile,Golden Collection,,
87,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,95,314,1627414,folk pop; folk; chamber pop; singer-songwriter; indie,Now That's What I Call Music! Vol. 76,,
109,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,8,127,233,1468582,pop; screamo; brutal death metal; metal; overrated,Midnights,,
129,spotify:track:0cqRj7pUJDkTCEsJkx8snD,Taylor Swift,Shake It Off,Taylor Swift,54,162,152,1350474,pop; 2014; haters gonna hate; taylor swift; love at first listen,1989,,
151,spotify:track:1qrpoAMXodY6895hGKoUpA,Taylor Swift,You Belong With Me (Taylor’s Version),Taylor Swift,16,-1,51,1268294,country pop; pop rock; power pop; country; overrated,Kids Hits 2022,,
174,spotify:track:6YvqWjhGD8mB5QXcbcUKtx,Taylor Swift,Love Story (Taylor’s Version),Taylor Swift,2,-1,74,1198769,overrated; country; country pop; rock; singer songwriter,Best Of 2021: Summer Lounge,,
