rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
3,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,3,158,4911330,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
16,spotify:track:5kHMfzgLZP95O9NBy0ku4v,Taylor Swift,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,4,7,7,3127713,pop rock; rock; indie rock; pop; country rock,True,,,
26,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,26,266,2341132,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
27,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,25,25,595,2332066,pop; love at first listen; 2014; female vocalists; best of 2014,True,1989,,
29,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,27,27,125,2287932,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
38,spotify:track:3sW3oSbzsfecv9XoUdGs7h,Taylor Swift,Enchanted (Taylor's Version),Taylor Swift,3,28,7,2137932,rock; country; country rock; pop rock; magic,False,Speak Now (Taylor's Version),,
46,spotify:track:79uDOz0zuuWS7HWxzMmTa2,Taylor Swift,Back To December (Taylor's Version),Taylor Swift,2,31,7,2041270,country pop; country; pop rock; pop; ballad,True,Speak Now (Taylor's Version),,
53,spotify:track:7G0gBu6nLdhFDPRLc0HdDG,Taylor Swift,Mine (Taylor's Version),Taylor Swift,1,44,7,1901424,pop rock; country pop; country; pop; country rock,True,Speak Now (Taylor's Version),,
58,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,52,221,1852522,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,
59,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,8,58,140,1819037,pop; screamo; brutal death metal; metal; overrated,True,Midnights,,
84,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,86,333,1547492,pop; electropop; gospel; edm; exile,True,Golden Collection,,
87,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,96,169,1538282,pop; country; love; indie folk; country pop,True,You Belong With Me,,
94,spotify:track:3MytWN8L7shNYzGl4tAKRp,Taylor Swift,Sparks Fly (Taylor’s Version),Taylor Swift,4,70,7,1520473,country rock; country; taylors version; country pop; why is this not on the eras tour setlist,False,,,
96,spotify:track:0NwGC0v03ysCYINtg6ns58,Taylor Swift,Better Than Revenge (Taylor's Version),Taylor Swift,5,67,7,1515797,country; rock; pop punk; country rock; power pop,True,Speak Now (Taylor's Version),,
107,spotify:track:5xXqyjLicvEpch72qEryFT,Taylor Swift,Speak Now (Taylor's Version),Taylor Swift,6,76,7,1435225,country pop; country; pop; taylors version; rock,True,Speak Now (Taylor's Version),,
112,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,9,117,155,1406641,dream pop; folk; folk pop; indie pop; indie,True,folklore: the long pond studio sessions (from the Disney+ special),,
123,spotify:track:1zU8j1x3yi9xalMF96pzKp,Taylor Swift,Dear John (Taylor's Version),Taylor Swift,7,84,7,1374452,country; soft rock; country rock; ballad; country pop,False,Speak Now (Taylor's Version),,
141,spotify:track:4ABYxlb92WBIjHu7TIKmml,"Taylor Swift, Hayley Williams",Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Taylor Swift,16,97,7,1298684,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,,,
144,spotify:track:4s8BIKx4Zh6ryAEz8RTlaU,Taylor Swift,Foolish One (Taylor’s Version) (From The Vault),Taylor Swift,21,105,7,1287659,rock; country; country pop; soft rock; taylors version,True,,,
153,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,Enchanted,Taylor Swift,41,148,189,1266319,country; pop; taylor swift; love; country pop,True,Speak Now,,
160,spotify:track:6dTA6y0C2ReQklntzZl8l3,Taylor Swift,The Story Of Us (Taylor's Version),Taylor Swift,9,107,7,1246641,alternative rock; rock; pop rock; country; country pop,True,Speak Now (Taylor's Version),,
164,spotify:track:4e3ZNTAV6PCrdYMUrUlMpQ,"Taylor Swift, Fall Out Boy",Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),Taylor Swift,12,115,7,1233540,rock; country; pop; country rock; from the vault,True,,,
172,spotify:track:0zo975x58DlXbZllWvfYhg,Taylor Swift,When Emma Falls in Love (Taylor’s Version) (From The Vault),Taylor Swift,14,119,7,1214297,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,,,
173,spotify:track:1qrpoAMXodY6895hGKoUpA,Taylor Swift,You Belong With Me (Taylor’s Version),Taylor Swift,16,157,12,1210699,country pop; pop rock; power pop; country; overrated,True,Kids Hits 2022,,
174,spotify:track:0cqRj7pUJDkTCEsJkx8snD,Taylor Swift,Shake It Off,Taylor Swift,124,166,71,1209559,pop; 2014; haters gonna hate; taylor swift; love at first listen,True,1989,,
176,spotify:track:30Y4CV7A6YqtQtTTo7Ue4j,Taylor Swift,Mean (Taylor's Version),Taylor Swift,10,118,7,1207395,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,Speak Now (Taylor's Version),,
193,spotify:track:6YvqWjhGD8mB5QXcbcUKtx,Taylor Swift,Love Story (Taylor’s Version),Taylor Swift,2,167,42,1158219,overrated; country; country pop; rock; singer songwriter,True,Best Of 2021: Summer Lounge,,
196,spotify:track:1HCdems7PQZRj42QDWLA0A,Taylor Swift,Timeless (Taylor’s Version) (From The Vault),Taylor Swift,24,147,7,1153448,country; taylors version; from the vault; female vocalist; country rock,False,,,
200,spotify:track:4hqJ4bSlYJOXb6Z4SRmzxs,Taylor Swift,Long Live (Taylor's Version),Taylor Swift,20,150,7,1140845,heartland rock; country; taylors version; pop rock; pop,False,Speak Now (Taylor's Version),,
