rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,album,release_date,days_since_release
13,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,"Taylor Swift, Post Malone",Fortnight (feat. Post Malone),Taylor Swift,1,13,34,5395178,pop; best of 2024; soty; synthpop; singer-songwriter,The Tortured Poets Department (Webstore Exclusive),,
24,spotify:track:4q5YezDOIPcoLr8R81x9qy,Taylor Swift,I Can Do It With a Broken Heart,Taylor Swift,3,23,34,3589086,pop; best of 2024; synthpop; dance-pop; soty,THE TORTURED POETS DEPARTMENT,,
27,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,29,472,3294375,electropop; pop; synthpop; industrial pop; synthwave,Lover,,
41,spotify:track:2F3N9tdombb64aW6VtZOdo,Taylor Swift,Down Bad,Taylor Swift,2,37,34,2636030,pop; synthpop; best of 2024; love at first listen; pop perfect,THE TORTURED POETS DEPARTMENT,,
51,spotify:track:0W0iAC1VGlB82PI6elxFYf,Taylor Swift,Guilty as Sin?,Taylor Swift,11,47,34,2350200,pop; best of 2024; singer-songwriter; pop rock; soty,THE TORTURED POETS DEPARTMENT,,
54,spotify:track:36t6frENUtCYKuZus6aYDO,Taylor Swift,Who’s Afraid of Little Old Me?,Taylor Swift,9,50,34,2249423,love at first listen; pop; best of 2024; pop rock; taylor swift,THE TORTURED POETS DEPARTMENT [Clean] [Clean],,
63,spotify:track:3Vevii7qKqrmW8CcyzBHDl,Taylor Swift,"So Long, London",Taylor Swift,4,58,34,2043020,pop; best of 2024; singer-songwriter; synthpop; wsum 91.7 fm madison,THE TORTURED POETS DEPARTMENT,,
72,spotify:track:2XXwLdtuAcE0HSCu61ijAb,Taylor Swift,My Boy Only Breaks His Favorite Toys,Taylor Swift,5,73,34,1909120,pop; best of 2024; synthpop; female vocalists; taylor swift,THE TORTURED POETS DEPARTMENT,,
73,spotify:track:5og4Qzt92jJzVDkOtSEilb,Taylor Swift,But Daddy I Love Him,Taylor Swift,6,68,34,1894593,pop; best of 2024; pop rock; colleen hoover; country,THE TORTURED POETS DEPARTMENT,,
110,spotify:track:2v1ivOOsgn64g5OywuH55L,Taylor Swift,The Smallest Man Who Ever Lived,Taylor Swift,14,94,34,1603076,pop; singer-songwriter; best of 2024; colleen hoover; chatgpt,THE TORTURED POETS DEPARTMENT,,
117,spotify:track:3NMrVbIVWT3fPXBj0rNDKG,Taylor Swift,The Tortured Poets Department,Taylor Swift,2,105,34,1572540,pop; synthpop; best of 2024; singer-songwriter; 2024,THE TORTURED POETS DEPARTMENT,,
132,spotify:track:3ZVFcD8Wlw9T9klGqmJf9F,"Taylor Swift, Florence + The Machine",Florida!!! (feat. Florence + The Machine),Taylor Swift,7,119,34,1516717,pop; rock; alternative; country; pop rock; singer-songwriter; love at first listen; best of 2024; 2024; alternative pop,,,
146,spotify:track:7Mts0OfPorF4iwOomvfqn1,Taylor Swift,So High School,Taylor Swift,25,136,34,1453361,pop; rock; pop rock; singer-songwriter; indie rock,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,
168,spotify:track:6RSG1dKPV5gEvILwJb4QtS,Taylor Swift,loml,Taylor Swift,12,149,34,1396538,pop; singer-songwriter; sad; piano; ballad,THE TORTURED POETS DEPARTMENT,,
