rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
4,spotify:track:53iuhJlwXhSER5J2IYYv1W,Taylor Swift,The Fate of Ophelia,Taylor Swift,1,4,125,5274496,pop; best of 2025; baroque pop; synthpop; love at first listen,True,The Life of a Showgirl,,
51,spotify:track:3yWuTOYDztXjZxdE2cIRUa,Taylor Swift,Opalite,Taylor Swift,2,43,125,2131431,pop; synthpop; soft rock; rnb; christmas,True,The Life of a Showgirl,,
191,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,12,192,307,1274116,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
