rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
11,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,10,301,4087198,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
19,spotify:track:3CWq0pAKKTWb0K4yiglDc4,Taylor Swift,You’re Losing Me (From The Vault),Taylor Swift,1,14,5,3253278,pop; sad; best of 2023; downtempo; break-up,True,You're Losing Me (From the Vault),2023-05-26,191
48,spotify:track:1Iq8oo9XkmmvCQiGOfORiz,Taylor Swift,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1,44,38,2156892,pop; synthpop; synthwave; electropop; masterpiece,True,1989 (Taylor’s Version) (Deluxe),,
65,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,56,409,1895837,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
78,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,82,312,1746842,pop; country; love; indie folk; country pop,True,You Belong With Me,,
98,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,112,364,1530276,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,
115,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,4,126,298,1458209,dream pop; folk; folk pop; indie pop; indie,True,folklore: the long pond studio sessions (from the Disney+ special),,
124,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,14,119,738,1402346,pop; love at first listen; 2014; female vocalists; best of 2014,True,1989,,
125,spotify:track:5KD6AEm19QnMbfWpfoOHMl,Taylor Swift,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,2,124,38,1401020,from the vault; synthpop; dance-pop; female vocalist; alt-pop,True,1989 (Taylor’s Version) (Deluxe),,
144,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,139,476,1340682,pop; electropop; gospel; edm; exile,True,Golden Collection,,
152,spotify:track:71BqAINEnezjQfxE4VuJfq,Taylor Swift,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,2,148,38,1321897,synthpop; pop; dream pop; female vocalists; singer song writer,True,1989 (Taylor’s Version) (Deluxe),,
182,spotify:track:2mvabkN1i2gLnGAPUVdwek,Taylor Swift,Christmas Tree Farm,Taylor Swift,73,194,25,1238649,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,Happy Holidaze,,
186,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,12,197,268,1229990,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
