rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,album,release_date,days_since_release
6,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,7,256,5306698,electropop; pop; synthpop; industrial pop; synthwave,Lover,,
30,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,12,33,223,2359576,pop; synthpop; love at first listen; taylor swift; 1989,1989,,
32,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,14,34,693,2347003,pop; love at first listen; 2014; female vocalists; best of 2014,1989,,
36,spotify:track:6ClYMObS7f3Nn4AiZHYQt3,Taylor Swift,Cruel Summer - Live from TS | The Eras Tour,Taylor Swift,36,-1,1,2250532,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,The Cruelest Summer,,
47,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,46,364,2035535,rock; grunge; 90s; test-tag; batch-test,Midnights [Clean],,
49,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,48,267,1952675,pop; country; love; indie folk; country pop,You Belong With Me,,
53,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,4,51,253,1856000,dream pop; folk; folk pop; indie pop; indie,folklore: the long pond studio sessions (from the Disney+ special),,
66,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,63,319,1743328,folk pop; folk; chamber pop; singer-songwriter; indie,Now That's What I Call Music! Vol. 76,,
76,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,75,431,1642467,pop; electropop; gospel; edm; exile,Golden Collection,,
91,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,8,93,238,1491495,pop; screamo; brutal death metal; metal; overrated,Midnights,,
152,spotify:track:0cqRj7pUJDkTCEsJkx8snD,Taylor Swift,Shake It Off,Taylor Swift,54,160,157,1284411,pop; 2014; haters gonna hate; taylor swift; love at first listen,1989,,
188,spotify:track:1qrpoAMXodY6895hGKoUpA,Taylor Swift,You Belong With Me (Taylor’s Version),Taylor Swift,16,192,56,1163777,country pop; pop rock; power pop; country; overrated,Kids Hits 2022,,
