pop_rank,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release,previous_pop_rank
21,48,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,"Taylor Swift, Post Malone",Fortnight (feat. Post Malone),Taylor Swift,11,30,9,136114,pop; best of 2024; soty; synthpop; singer-songwriter,True,The Tortured Poets Department (Webstore Exclusive),,,13.0
45,142,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,36,124,209,71967,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,2023-10-18,192,41.0
49,157,spotify:track:4q5YezDOIPcoLr8R81x9qy,Taylor Swift,I Can Do It With a Broken Heart,Taylor Swift,56,119,9,69573,pop; best of 2024; synthpop; dance-pop; soty,True,THE TORTURED POETS DEPARTMENT,2024-04-19,8,38.0
