rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
3,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,15,153,4894179,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
4,spotify:track:5kHMfzgLZP95O9NBy0ku4v,Taylor Swift,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,4,8,2,4697954,pop rock; rock; indie rock; pop; country rock,True,,,
6,spotify:track:79uDOz0zuuWS7HWxzMmTa2,Taylor Swift,Back To December (Taylor's Version),Taylor Swift,2,2,2,4307141,country pop; country; pop rock; pop; ballad,True,Speak Now (Taylor's Version),,
7,spotify:track:3sW3oSbzsfecv9XoUdGs7h,Taylor Swift,Enchanted (Taylor's Version),Taylor Swift,3,3,2,4171509,rock; country; country rock; pop rock; magic,False,Speak Now (Taylor's Version),,
8,spotify:track:7G0gBu6nLdhFDPRLc0HdDG,Taylor Swift,Mine (Taylor's Version),Taylor Swift,1,1,2,4168012,pop rock; country pop; country; pop; country rock,True,Speak Now (Taylor's Version),,
13,spotify:track:3MytWN8L7shNYzGl4tAKRp,Taylor Swift,Sparks Fly (Taylor’s Version),Taylor Swift,4,4,2,3628029,country rock; country; taylors version; country pop; why is this not on the eras tour setlist,False,,,
14,spotify:track:0NwGC0v03ysCYINtg6ns58,Taylor Swift,Better Than Revenge (Taylor's Version),Taylor Swift,5,5,2,3535195,country; rock; pop punk; country rock; power pop,True,Speak Now (Taylor's Version),,
15,spotify:track:5xXqyjLicvEpch72qEryFT,Taylor Swift,Speak Now (Taylor's Version),Taylor Swift,6,6,2,3526762,country pop; country; pop; taylors version; rock,True,Speak Now (Taylor's Version),,
17,spotify:track:1zU8j1x3yi9xalMF96pzKp,Taylor Swift,Dear John (Taylor's Version),Taylor Swift,7,7,2,3391263,country; soft rock; country rock; ballad; country pop,False,Speak Now (Taylor's Version),,
23,spotify:track:6dTA6y0C2ReQklntzZl8l3,Taylor Swift,The Story Of Us (Taylor's Version),Taylor Swift,9,9,2,3091724,alternative rock; rock; pop rock; country; country pop,True,Speak Now (Taylor's Version),,
24,spotify:track:30Y4CV7A6YqtQtTTo7Ue4j,Taylor Swift,Mean (Taylor's Version),Taylor Swift,10,10,2,3023228,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,Speak Now (Taylor's Version),,
26,spotify:track:4ABYxlb92WBIjHu7TIKmml,"Taylor Swift, Hayley Williams",Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Taylor Swift,16,16,2,2863021,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,,,
30,spotify:track:0zo975x58DlXbZllWvfYhg,Taylor Swift,When Emma Falls in Love (Taylor’s Version) (From The Vault),Taylor Swift,14,14,2,2767304,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,,,
32,spotify:track:4e3ZNTAV6PCrdYMUrUlMpQ,"Taylor Swift, Fall Out Boy",Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),Taylor Swift,12,12,2,2722390,rock; country; pop; country rock; from the vault,True,,,
34,spotify:track:4tMzIAFTFdqGBQLdfbPces,Taylor Swift,Haunted (Taylor's Version),Taylor Swift,17,17,2,2668483,haunted; rock; pop rock; punk; taylors version,True,Speak Now (Taylor's Version),,
39,spotify:track:4hqJ4bSlYJOXb6Z4SRmzxs,Taylor Swift,Long Live (Taylor's Version),Taylor Swift,20,20,2,2544932,heartland rock; country; taylors version; pop rock; pop,False,Speak Now (Taylor's Version),,
