rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
2,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,3,196,4658257,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
28,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,4,33,193,2210785,dream pop; folk; folk pop; indie pop; indie,True,folklore: the long pond studio sessions (from the Disney+ special),,
30,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,12,29,163,2182520,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
34,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,14,36,633,2040206,pop; love at first listen; 2014; female vocalists; best of 2014,True,1989,,
35,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,35,304,2029746,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
60,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,77,259,1596227,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,
87,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,91,207,1412173,pop; country; love; indie folk; country pop,True,You Belong With Me,,
88,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,8,87,178,1407726,pop; screamo; brutal death metal; metal; overrated,True,Midnights,,
96,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,96,371,1359276,pop; electropop; gospel; edm; exile,True,Golden Collection,,
107,spotify:track:5kHMfzgLZP95O9NBy0ku4v,Taylor Swift,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,4,114,45,1263221,pop rock; rock; indie rock; pop; country rock,True,,,
145,spotify:track:0cqRj7pUJDkTCEsJkx8snD,Taylor Swift,Shake It Off,Taylor Swift,54,138,109,1122844,pop; 2014; haters gonna hate; taylor swift; love at first listen,True,1989,,
168,spotify:track:1qrpoAMXodY6895hGKoUpA,Taylor Swift,You Belong With Me (Taylor’s Version),Taylor Swift,16,193,35,1059406,country pop; pop rock; power pop; country; overrated,True,Kids Hits 2022,,
182,spotify:track:6YvqWjhGD8mB5QXcbcUKtx,Taylor Swift,Love Story (Taylor’s Version),Taylor Swift,2,199,59,1031654,overrated; country; country pop; rock; singer songwriter,True,Best Of 2021: Summer Lounge,,
196,spotify:track:3sW3oSbzsfecv9XoUdGs7h,Taylor Swift,Enchanted (Taylor's Version),Taylor Swift,3,-1,44,1004452,rock; country; country rock; pop rock; magic,False,Speak Now (Taylor's Version),,
