rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
3,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,2,12,3989123
10,spotify:track:3RauEVgRgj1IuWdJ9fDs70,Taylor Swift,The Man,Taylor Swift,4,8,5,2912968
16,spotify:track:6RRNNciQGZEXnqk8SQ9yv5,Taylor Swift,You Need To Calm Down,Taylor Swift,3,16,75,2545669
19,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,5,17,5,2284325
22,spotify:track:43rA71bccXFGD4C8GOpIlN,Taylor Swift,I Forgot That You Existed,Taylor Swift,6,20,5,2102638
30,spotify:track:2Rk4JlNc2TPmZe2af99d45,"Taylor Swift, Brendon Urie, Panic! At The Disco",ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,1,32,124,1852748
31,spotify:track:4y5bvROuBDPr5fuwXbIBZR,Taylor Swift,Paper Rings,Taylor Swift,16,22,5,1817889
33,spotify:track:214nt20w5wOxJnY462klLw,Taylor Swift,Miss Americana & The Heartbreak Prince,Taylor Swift,15,27,5,1695856
36,spotify:track:2YWtcWi3a83pdEg3Gif4Pd,Taylor Swift,I Think He Knows,Taylor Swift,13,30,5,1666552
39,spotify:track:3pHkh7d0lzM2AldUtz2x37,Taylor Swift,The Archer,Taylor Swift,9,33,30,1609717
41,spotify:track:12M5uqx0ZuwkpLp5rJim1a,Taylor Swift,Cornelia Street,Taylor Swift,23,34,5,1581053
44,spotify:track:1LLXZFeAHK9R4xUramtUKw,Taylor Swift,London Boy,Taylor Swift,25,36,5,1545086
50,spotify:track:2dgFqt3w9xIQRjhPtwNk3D,Taylor Swift,Death By A Thousand Cuts,Taylor Swift,26,41,5,1425515
57,spotify:track:1SymEzIT3H8UZfibCs3TYi,Taylor Swift,Afterglow,Taylor Swift,38,48,5,1259798
63,spotify:track:5hQSXkFgbxjZo9uCwd11so,Taylor Swift,False God,Taylor Swift,34,49,5,1181745
69,spotify:track:4AYtqFyFbX0Xkc2wtcygTr,"Taylor Swift, The Chicks",Soon You’ll Get Better (feat. The Chicks),Taylor Swift,31,51,5,1095179
82,spotify:track:1fzAuUVbzlhZ1lJAx9PtY6,Taylor Swift,Daylight,Taylor Swift,42,61,5,1030587
97,spotify:track:1SmiQ65iSAbPto6gPFlBYm,Taylor Swift,It’s Nice To Have A Friend,Taylor Swift,44,67,5,939042
