date,track_id,streams,daily_streams
2026-03-09,1n2wszmJyVkw6FHqyLnQsY,53420702,
2026-03-09,12M5uqx0ZuwkpLp5rJim1a,444818276,
2026-03-09,3fGnrtrtL1IHSX9t4DKOYf,83006018,
2026-03-09,1XjHRolIXL2M1EEOUsGGR4,255234035,
2026-03-09,5vyxXfD5gLlyPxGZMEjtmd,143585741,
2026-03-09,1BxfuPKGuaTgP7aM0Bbdwr,3274023189,
2026-03-09,1kHVme7OVyPqhtdiLj2SI4,3274023189,
2026-03-09,0ISHfeb30gj4CSWUZYuesj,1214236,
2026-03-09,37jfioVu3Bd2Du9bteXNDU,44140435,
2026-03-09,7I7JbDv63ZJJsSi24DyJrz,337365194,
2026-03-09,1fzAuUVbzlhZ1lJAx9PtY6,688432607,
2026-03-09,3ZfvKQxJp4zZshiJsRPoD1,392593,
2026-03-09,3K2es3gElMRJ3qvmPW442g,155164927,
2026-03-09,7ryS0xBZNYjQqql34GCkDp,35250903,
2026-03-09,2dgFqt3w9xIQRjhPtwNk3D,368404669,
2026-03-09,10GRRCR5fctuOF4GFmATJI,175362036,
2026-03-09,1zU8j1x3yi9xalMF96pzKp,148846004,
2026-03-09,3oF7Or7T35yhQbGxbCGvRX,45339275,
2026-03-09,6NFyWDv5CjfwuzoCkw47Xf,1300212481,
2026-03-09,1Fj0T1XKuhRu7EZzJ7NJIK,52130532,
2026-03-09,5Iadj8IBPrt634WW0yGPRI,637183,
2026-03-09,1R0a2iXumgCiFb7HEZ7gUE,1569643386,
2026-03-09,6SYwJcqaltK2WFRmD1unUV,8662528,
2026-03-09,2Sy2oGjP5RYB4cLVoDU0Gz,52244863,
2026-03-09,5JtXBqKLdfzwedmlUjjqAm,847662,
2026-03-09,670fUmXf4KQekzbEgaXyPA,229342750,
2026-03-09,4uuEGH5SVuzkkSFjo2DEiY,92485866,
2026-03-09,212gSq8QwTqxjHJSEcMoEZ,515074838,
2026-03-09,2F3N9tdombb64aW6VtZOdo,515074838,249139
2026-03-09,6oVxXO5oQ4pTpO8RSnkzvv,554481582,
2026-03-09,62HoDY1Km6lm47haFpUn9c,195339573,
2026-03-09,1jgTiNob5cVyXeJ3WgX5bL,308767264,536544
2026-03-09,2JHzTARFUispsjZHKhrxxO,4332126,
2026-03-09,2k0w1FGqvzVPgQ9VdTaJpe,373338,
2026-03-09,4e3ZNTAV6PCrdYMUrUlMpQ,121510430,
2026-03-09,3r9fAceWmaDFvbNiTnFiLr,1442424,
2026-03-09,2x0WlnmfG39ZuDmstl9xfX,618505693,
2026-03-09,4UBWugj5D20ZveyzdGpqvD,8128494,20625
2026-03-09,04S1pkp1VaIqjg8zZqknR5,1003655803,286220
2026-03-09,4cag67C3v9ToeFivUwDUsE,439774,186
2026-03-09,3sW3oSbzsfecv9XoUdGs7h,504753117,
2026-03-09,08fa9LFcFBTcilB3iq2e2A,233034610,
2026-03-09,4yyKppX85ZkmlGOC2toBZA,13376119,
2026-03-09,3O5osWf1rSoKMwe6E9ZaXP,297933156,
2026-03-09,7gdwoOmi258QJq0hmQ4hto,312050575,61925
2026-03-09,7qEUFOVcxRI19tbT68JcYK,228665564,128534
2026-03-09,6kz2hkq1xQvDqPcUyBkw8f,1064088905,461017
2026-03-09,4pvb0WLRcMtbPGmtejJJ6y,1064088905,
2026-03-09,2NIBaWXdjaTDmytjjwbEfP,50573514,10415
2026-03-09,5hQSXkFgbxjZo9uCwd11so,366572907,
2026-03-09,03bTIHJElXZ0O0jqOQvAbY,281665734,
2026-03-09,2NGGvVcfb2m2NbVaXHC3gb,1277846,1512
2026-03-09,3F6czr26ZwGU5O5CHY04Ma,147365081,48055
2026-03-09,6zV8AVM9eVfdG7Qahwd64R,147365081,
2026-03-09,4yf9OivCH2lmQWN8mzpCC6,131005884,
2026-03-09,3M0w3fhdXByHLCNAoi5c9G,131005884,
2026-03-09,77sMIMlNaSURUAXq5coCxE,454054270,165994
2026-03-09,2nqio0SfWg6gh2eCtfuMa5,132121946,
2026-03-09,4s8BIKx4Zh6ryAEz8RTlaU,135148389,
2026-03-09,1zxrcAk6eiytfavqriMcKT,60232123,11490
2026-03-09,3ZVFcD8Wlw9T9klGqmJf9F,322858139,
2026-03-09,01QdEx6kFr78ZejhQtWR5m,68575555,18534
2026-03-09,2OzhQlSqBEmt7hmkYxfT6m,1133066268,
2026-03-09,3oGVx9RBmiYGv5ZCecWLkx,121797035,27481
2026-03-09,1msEuwSBneBKpVCZQcFTsU,146886446,
2026-03-09,46HGgtwmmuEB8mvDCyjyAc,29821147,
2026-03-09,13MAWVUSkbGMUi6I7RowRK,29821147,3761
2026-03-09,2BUTSRKPGRsyc9FnsC5Udd,20238583,14156
2026-03-09,1gejz5ROvJBUb6WJzkMAcc,39998281,22574
2026-03-09,7pM01Cfj8vt7z3qI2TveNT,2105489,
2026-03-09,3fO566xJgwxIa3qGCGBvIC,248220627,145414
2026-03-09,2bzUVEvpZ7At5cYz1kOLI9,86928780,
