rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
3,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,3,155,4652880,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
4,spotify:track:5kHMfzgLZP95O9NBy0ku4v,Taylor Swift,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,4,4,4,4309372,pop rock; rock; indie rock; pop; country rock,True,,,
15,spotify:track:79uDOz0zuuWS7HWxzMmTa2,Taylor Swift,Back To December (Taylor's Version),Taylor Swift,2,9,4,3150897,country pop; country; pop rock; pop; ballad,True,Speak Now (Taylor's Version),,
18,spotify:track:3sW3oSbzsfecv9XoUdGs7h,Taylor Swift,Enchanted (Taylor's Version),Taylor Swift,3,10,4,3016152,rock; country; country rock; pop rock; magic,False,Speak Now (Taylor's Version),,
20,spotify:track:7G0gBu6nLdhFDPRLc0HdDG,Taylor Swift,Mine (Taylor's Version),Taylor Swift,1,12,4,2863648,pop rock; country pop; country; pop; country rock,True,Speak Now (Taylor's Version),,
24,spotify:track:3MytWN8L7shNYzGl4tAKRp,Taylor Swift,Sparks Fly (Taylor’s Version),Taylor Swift,4,21,4,2460727,country rock; country; taylors version; country pop; why is this not on the eras tour setlist,False,,,
27,spotify:track:5xXqyjLicvEpch72qEryFT,Taylor Swift,Speak Now (Taylor's Version),Taylor Swift,6,22,4,2388718,country pop; country; pop; taylors version; rock,True,Speak Now (Taylor's Version),,
28,spotify:track:0NwGC0v03ysCYINtg6ns58,Taylor Swift,Better Than Revenge (Taylor's Version),Taylor Swift,5,23,4,2385149,country; rock; pop punk; country rock; power pop,True,Speak Now (Taylor's Version),,
31,spotify:track:1zU8j1x3yi9xalMF96pzKp,Taylor Swift,Dear John (Taylor's Version),Taylor Swift,7,27,4,2292182,country; soft rock; country rock; ballad; country pop,False,Speak Now (Taylor's Version),,
32,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,32,37,122,2290149,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
34,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,29,40,592,2253434,pop; love at first listen; 2014; female vocalists; best of 2014,True,1989,,
41,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,45,263,2151511,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
45,spotify:track:4ABYxlb92WBIjHu7TIKmml,"Taylor Swift, Hayley Williams",Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Taylor Swift,16,39,4,2124949,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,,,
46,spotify:track:6dTA6y0C2ReQklntzZl8l3,Taylor Swift,The Story Of Us (Taylor's Version),Taylor Swift,9,33,4,2085374,alternative rock; rock; pop rock; country; country pop,True,Speak Now (Taylor's Version),,
52,spotify:track:30Y4CV7A6YqtQtTTo7Ue4j,Taylor Swift,Mean (Taylor's Version),Taylor Swift,10,36,4,2035939,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,Speak Now (Taylor's Version),,
53,spotify:track:4s8BIKx4Zh6ryAEz8RTlaU,Taylor Swift,Foolish One (Taylor’s Version) (From The Vault),Taylor Swift,21,52,4,1980841,rock; country; country pop; soft rock; taylors version,True,,,
55,spotify:track:0zo975x58DlXbZllWvfYhg,Taylor Swift,When Emma Falls in Love (Taylor’s Version) (From The Vault),Taylor Swift,14,48,4,1976041,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,,,
56,spotify:track:4e3ZNTAV6PCrdYMUrUlMpQ,"Taylor Swift, Fall Out Boy",Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),Taylor Swift,12,49,4,1959999,rock; country; pop; country rock; from the vault,True,,,
63,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,67,218,1861037,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,
67,spotify:track:4hqJ4bSlYJOXb6Z4SRmzxs,Taylor Swift,Long Live (Taylor's Version),Taylor Swift,20,56,4,1833457,heartland rock; country; taylors version; pop rock; pop,False,Speak Now (Taylor's Version),,
69,spotify:track:1HCdems7PQZRj42QDWLA0A,Taylor Swift,Timeless (Taylor’s Version) (From The Vault),Taylor Swift,24,64,4,1783364,country; taylors version; from the vault; female vocalist; country rock,False,,,
72,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,8,84,137,1743702,pop; screamo; brutal death metal; metal; overrated,True,Midnights,,
73,spotify:track:4tMzIAFTFdqGBQLdfbPces,Taylor Swift,Haunted (Taylor's Version),Taylor Swift,17,57,4,1737072,haunted; rock; pop rock; punk; taylors version,True,Speak Now (Taylor's Version),,
81,spotify:track:59KOoHFcw5XfICnO57holu,Taylor Swift,Last Kiss (Taylor's Version),Taylor Swift,18,60,4,1689499,country; ballad; taylors version; rock; soft rock,False,Speak Now (Taylor's Version),,
100,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,112,330,1499936,pop; electropop; gospel; edm; exile,True,Golden Collection,,
101,spotify:track:2EFZ9emtKWEglWUQGEQ3P9,Taylor Swift,Never Grow Up (Taylor's Version),Taylor Swift,19,83,4,1489536,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,Speak Now (Taylor's Version),,
113,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,121,166,1444474,pop; country; love; indie folk; country pop,True,You Belong With Me,,
124,spotify:track:3yNJkriPzWjkkDAWHIAVUq,Taylor Swift,Ours (Taylor’s Version),Taylor Swift,26,96,4,1377223,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,,,
125,spotify:track:12nBPF4Rh4XLFJV0YLN7uj,Taylor Swift,Innocent (Taylor's Version),Taylor Swift,23,95,4,1371698,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,Speak Now (Taylor's Version),,
137,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,Enchanted,Taylor Swift,41,129,186,1320613,country; pop; taylor swift; love; country pop,True,Speak Now,,
147,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,9,165,152,1286361,dream pop; folk; folk pop; indie pop; indie,True,folklore: the long pond studio sessions (from the Disney+ special),,
161,spotify:track:6YvqWjhGD8mB5QXcbcUKtx,Taylor Swift,Love Story (Taylor’s Version),Taylor Swift,2,174,39,1237862,overrated; country; country pop; rock; singer songwriter,True,Best Of 2021: Summer Lounge,,
172,spotify:track:4evLyY5Ue1Wesc61t2KXAU,Taylor Swift,Superman (Taylor’s Version),Taylor Swift,34,141,4,1194191,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,,,
175,spotify:track:0cqRj7pUJDkTCEsJkx8snD,Taylor Swift,Shake It Off,Taylor Swift,124,185,68,1182426,pop; 2014; haters gonna hate; taylor swift; love at first listen,True,1989,,
179,spotify:track:1qrpoAMXodY6895hGKoUpA,Taylor Swift,You Belong With Me (Taylor’s Version),Taylor Swift,16,193,9,1171591,country pop; pop rock; power pop; country; overrated,True,Kids Hits 2022,,
