rank,track_name,artist_names,streams,previous_rank,peak_rank
112,Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",1510380,111,2
113,A Couple Minutes,Olivia Dean,1500469,114,57
114,No Pole,Don Toliver,1481732,124,58
115,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",1481238,106,1
116,Let Me Love You,"DJ Snake, Justin Bieber",1478753,115,3
117,The Less I Know The Better,Tame Impala,1477223,116,82
118,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",1475443,122,13
119,Smells Like Teen Spirit,Nirvana,1469190,123,92
120,7-3,"Peso Pluma, Tito Double P",1469067,126,40
121,When I Was Your Man,Bruno Mars,1468218,136,28
122,Todo Lo Fue,Lenin Ramírez,1465339,110,53
123,La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums",1462982,121,4
124,Nice To Each Other,Olivia Dean,1455219,118,44
125,CHANEL,Tyla,1448213,125,8
126,Shape of You,Ed Sheeran,1447706,132,1
127,Young And Beautiful,Lana Del Rey,1441218,133,79
128,Bairan,Banjaare,1437026,181,128
129,Bahagia Lagi,Piche Kota,1435612,120,70
130,GO,BLACKPINK,1428934,112,9
131,Somewhere Only We Know,Keane,1412834,130,60
132,Marlboro Rojo,Fuerza Regida,1412011,131,13
133,Another Love,Tom Odell,1411074,127,11
134,COQUETA,"Fuerza Regida, Grupo Frontera",1407472,128,76
135,chiclona,"Peso Pluma, Tito Double P, LENCHO",1406421,129,114
136,Counting Stars,OneRepublic,1401063,139,78
137,no tiene sentido,Beéle,1398011,142,15
138,Photograph,Ed Sheeran,1397001,161,40
139,Blinding Lights,The Weeknd,1393114,145,1
140,Let Down,Radiohead,1391992,138,49
141,Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",1391677,140,57
142,Dance With Me,Bruno Mars,1390756,135,67
143,Si Antes Te Hubiera Conocido,KAROL G,1387157,146,4
144,luther (with sza),"Kendrick Lamar, SZA",1383381,141,2
145,Perfect,Ed Sheeran,1380187,147,3
146,Without Me,Eminem,1379565,159,29
147,Folded,Kehlani,1377680,134,54
148,Sedia Aku Sebelum Hujan,Idgitaf,1376335,148,15
149,Unforgettable,"French Montana, Swae Lee",1367082,137,3
150,Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean",1365068,143,63
151,Kiss It Better,Rihanna,1359692,144,130
152,Closer,"The Chainsmokers, Halsey",1359154,163,2
153,Only Girl (In The World),Rihanna,1339712,162,45
154,Don't Stop The Music,Rihanna,1339530,180,73
155,Apocalypse,Cigarettes After Sex,1337418,158,44
157,DAISIES,Justin Bieber,1329301,154,1
158,Shut up My Moms Calling,Hotel Ugly,1328916,156,63
159,Africa,TOTO,1326927,151,66
160,Somewhere I Belong,Linkin Park,1326012,185,63
161,From The Start,Laufey,1324717,157,77
162,Payphone,"Maroon 5, Wiz Khalifa",1316862,173,46
163,Have You Ever Seen The Rain,Creedence Clearwater Revival,1316516,153,58
164,we can't be friends (wait for your love),Ariana Grande,1315569,164,1
165,Just Keep Watching (From F1® The Movie),"Tate McRae, F1 The Album",1315175,149,7
166,4 Raws,EsDeeKid,1311893,160,29
167,like JENNIE,JENNIE,1310375,150,5
168,Gangsta's Paradise,"Coolio, L.V.",1307388,183,11
169,Sweet Child O' Mine,Guns N' Roses,1306853,176,94
170,Sorry,Justin Bieber,1304066,178,55
171,Style,Taylor Swift,1303889,188,12
172,KLOuFRENS,Bad Bunny,1297790,171,18
173,Promiscuous,"Nelly Furtado, Timbaland",1288925,169,95
174,Ada titik-titik di ujung doa,Sal Priadi,1287636,168,141
175,Flashing Lights,"Kanye West, Dwele",1286424,182,112
176,Night Changes,One Direction,1284346,174,6
177,Take Me To Church,Hozier,1284172,166,91
178,The Scientist,Coldplay,1283627,184,63
179,We Don't Talk Anymore (feat. Selena Gomez),"Charlie Puth, Selena Gomez",1281187,167,39
180,FOREVER TU GANTEL,"Omar Courtz, Ñengo Flow",1280952,175,122
181,Poker Face,Lady Gaga,1277833,189,24
182,Wonderwall - Remastered,Oasis,1275857,195,16
183,Summertime Sadness,Lana Del Rey,1274533,170,74
184,It Will Rain,Bruno Mars,1268347,165,29
185,Something Just Like This,"The Chainsmokers, Coldplay",1259313,199,2
186,The Spins,"Mac Miller, Empire Of The Sun",1256929,179,179
187,The Chain - 2004 Remaster,Fleetwood Mac,1247475,196,103
188,Me Rehúso,Danny Ocean,1243046,191,18
189,Can't Stop,Red Hot Chili Peppers,1240757,152,107
191,Everybody Wants To Rule The World,Tears For Fears,1237138,192,36
192,Boys Don't Cry,The Cure,1235953,177,116
194,Do I Wanna Know?,Arctic Monkeys,1233440,197,91
195,Stressed Out,Twenty One Pilots,1230951,198,63
197,S&M,Rihanna,1228538,194,80
199,Breakin' Dishes,Rihanna,1225942,200,32
