rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
14,spotify:track:3xYJScVfxByb61dYHTwiby,Taylor Swift,Hits Different,Taylor Swift,8,8,2,2947363,pop; love at first listen; bonus track; pop rock; best of 2023,True,Midnights (Lavender Edition),,
15,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,16,219,2940411,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
27,spotify:track:4zmKGsrXjLmljb5fTaBTot,"Taylor Swift, Lana Del Rey",Snow On The Beach (feat. More Lana Del Rey),Taylor Swift,6,6,2,2564557,pop perfection; dream pop; pop; death metal; ballad,True,Midnights (The Til Dawn Edition),,
34,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,5,33,111,2393269,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
35,spotify:track:4i6cwNY6oIUU2XZxPIw82Y,"Taylor Swift, Ice Spice",Karma (feat. Ice Spice),Taylor Swift,5,5,2,2391384,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,Midnights (The Til Dawn Edition),,
60,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,56,58,548,1866142,pop; love at first listen; 2014; female vocalists; best of 2014,True,1989,,
74,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,8,65,93,1710489,pop; screamo; brutal death metal; metal; overrated,True,Midnights,,
75,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,64,73,78,1702363,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
78,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,68,174,1677162,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,
91,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,Enchanted,Taylor Swift,46,96,142,1571115,country; pop; taylor swift; love; country pop,True,Speak Now,,
94,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,Taylor Swift,Lavender Haze,Taylor Swift,2,63,217,1562397,pop; synthpop; dream pop; overrated; electropop,True,Midnights,,
142,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,128,286,1334730,pop; electropop; gospel; edm; exile,True,Golden Collection,,
149,spotify:track:3rWDp9tBPQR9z6U5YyRSK4,Taylor Swift,Midnight Rain,Taylor Swift,4,119,151,1302065,pop; synthpop; electropop; overrated; aoty,True,Midnights [Clean],,
177,spotify:track:0cqRj7pUJDkTCEsJkx8snD,Taylor Swift,Shake It Off,Taylor Swift,124,193,25,1174543,pop; 2014; haters gonna hate; taylor swift; love at first listen,True,1989,,
