rank,track_name,artist_names,streams,previous_rank,peak_rank
111,"Good Luck, Babe!",Chappell Roan,1477245,96,5
112,That’s So True,Gracie Abrams,1468341,92,3
113,Danza Kuduro,"Don Omar, Lucenzo",1460967,106,55
114,Todo Lo Fue,Lenin Ramírez,1451465,124,53
115,The Man Who Can't Be Moved,The Script,1450030,86,79
116,Smells Like Teen Spirit,Nirvana,1446238,112,92
117,Viva La Vida,Coldplay,1441783,101,27
118,The Less I Know The Better,Tame Impala,1438581,118,82
119,Midnight Sun,Zara Larsson,1429897,117,95
120,Numb,Linkin Park,1423929,102,12
121,COQUETA,"Fuerza Regida, Grupo Frontera",1420565,135,76
122,Kiss It Better,Rihanna,1418164,156,122
123,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",1412203,126,13
124,Billie Jean,Michael Jackson,1406782,113,35
125,Let Me Love You,"DJ Snake, Justin Bieber",1398412,114,3
126,Shape of You,Ed Sheeran,1385902,123,1
127,Fame is a Gun,Addison Rae,1384941,103,31
128,no tiene sentido,Beéle,1383315,129,15
129,Marlboro Rojo,Fuerza Regida,1380612,141,13
130,No Pole,Don Toliver,1377618,130,58
131,Photograph,Ed Sheeran,1372853,139,40
132,Nice To Each Other,Olivia Dean,1372045,142,44
133,Let Down,Radiohead,1363864,145,49
134,Can't Stop,Red Hot Chili Peppers,1363686,151,107
135,Somewhere Only We Know,Keane,1361534,125,60
136,Another Love,Tom Odell,1360159,128,11
137,Apocalypse,Cigarettes After Sex,1358525,147,44
138,What You Saying,Lil Uzi Vert,1347462,116,33
139,Give Me Everything (feat. Nayer),"Pitbull, AFROJACK, Ne-Yo, Nayer",1342093,121,58
140,Ada titik-titik di ujung doa,Sal Priadi,1337987,186,140
141,luther (with sza),"Kendrick Lamar, SZA",1337453,144,2
142,Blinding Lights,The Weeknd,1337051,136,1
143,Without Me,Eminem,1336009,138,29
144,Just Keep Watching (From F1® The Movie),"Tate McRae, F1 The Album",1335696,153,7
145,Young And Beautiful,Lana Del Rey,1321252,132,79
146,we can't be friends (wait for your love),Ariana Grande,1315144,149,1
147,Somewhere I Belong,Linkin Park,1312193,161,63
148,The Chain - 2004 Remaster,Fleetwood Mac,1310410,174,103
149,Sedia Aku Sebelum Hujan,Idgitaf,1307778,157,15
150,Perfect,Ed Sheeran,1306134,134,3
151,We Don't Talk Anymore (feat. Selena Gomez),"Charlie Puth, Selena Gomez",1305997,190,39
152,CHANEL,Tyla,1305682,133,8
153,Folded,Kehlani,1298026,150,54
154,Counting Stars,OneRepublic,1297646,140,78
155,Si Antes Te Hubiera Conocido,KAROL G,1297145,131,4
156,From The Start,Laufey,1294141,160,77
157,Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",1292759,143,57
158,Only Girl (In The World),Rihanna,1292466,154,45
