rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
15,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,5,15,132,2746592,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
30,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,27,240,2377425,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
49,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,48,49,569,1992543,pop; love at first listen; 2014; female vocalists; best of 2014,True,1989,,
64,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,58,61,99,1781683,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
80,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,8,96,114,1636029,pop; screamo; brutal death metal; metal; overrated,True,Midnights,,
87,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,80,195,1595827,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,
90,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,Enchanted,Taylor Swift,46,89,163,1565628,country; pop; taylor swift; love; country pop,True,Speak Now,,
126,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,112,307,1358273,pop; electropop; gospel; edm; exile,True,Golden Collection,,
160,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,156,143,1229990,pop; country; love; indie folk; country pop,True,You Belong With Me,,
165,spotify:track:0cqRj7pUJDkTCEsJkx8snD,Taylor Swift,Shake It Off,Taylor Swift,124,168,45,1219002,pop; 2014; haters gonna hate; taylor swift; love at first listen,True,1989,,
192,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,9,178,130,1140464,dream pop; folk; folk pop; indie pop; indie,True,folklore: the long pond studio sessions (from the Disney+ special),,
