rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
66,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,23,96,12,73092,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
193,spotify:track:1wtOxkiel43cVs0Yux5Q4h,"Taylor Swift, Lana Del Rey",Snow On The Beach (feat. Lana Del Rey),Taylor Swift,42,-1,8,41263,dream pop; pop; chill; ballad; synthpop,True,Snow on the beach (feat. Lana Del Rey),,
